#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      348.3   399.4   148.8   229.2   251.3   321.3   344.9   359.2   368.6   380.8   398.0   432.2   641.4  6965.9 17920.0   5009.4     5000  1714388655249  1714388660682
read      353.9   339.0   148.8   213.3   229.8   346.9   383.6   401.1   414.3   428.6   447.2   472.0   544.5  3803.4 21287.7  10068.0    10000  1714388662190  1714388667548
read      359.9   302.7   148.8   203.6   219.6   350.6   402.1   426.2   442.0   459.7   481.0   510.5   587.0  3791.5 12825.5  14944.0    15000  1714388669052  1714388674374
read      363.8   259.1   148.8   197.1   213.0   344.0   420.5   452.7   471.9   493.1   516.6   548.7   631.4  1984.6 11967.6  19946.4    20000  1714388675877  1714388681203
read      364.4   215.8   137.8   194.7   210.1   333.2   424.0   463.3   487.1   511.2   539.5   579.7   664.2  2573.3  9820.9  25137.8    25000  1714388682707  1714388688032
read      359.9   212.2   137.8   190.7   205.6   324.4   415.0   459.6   486.3   513.1   542.7   583.9   673.6  1554.7  8792.6  29986.8    30000  1714388689535  1714388694842
read      361.4   209.9   137.8   192.0   207.1   324.3   407.0   456.3   486.8   517.9   552.1   602.1   703.7  1591.5  8505.2  35004.2    35000  1714388696346  1714388701640
read      363.1   212.6   137.8   191.2   206.1   327.9   407.0   456.3   488.6   522.2   559.3   612.0   720.9  1492.2  8366.7  39903.6    40000  1714388703144  1714388708439
read      360.8   193.2   137.8   192.1   207.2   329.1   401.3   448.1   481.3   517.0   556.1   610.4   714.7  1435.0  8110.6  44757.0    45000  1714388709943  1714388715269
read      356.4   191.3   137.8   190.5   205.0   328.1   397.1   439.9   471.7   507.3   548.2   602.8   704.1  1092.9  7934.9  50098.7    50000  1714388716773  1714388722070
read      357.0   218.0   137.8   190.9   205.3   325.2   396.6   440.6   473.8   510.5   552.3   610.6   727.8  1110.3  7397.7  54993.0    55000  1714388723572  1714388728876
read      353.4   189.7   137.8   190.7   205.2   323.5   393.8   435.0   466.5   502.1   544.0   600.8   712.7  1037.8  7691.0  59946.0    60000  1714388730379  1714388735676
read      350.1   185.8   137.8   190.8   205.0   323.0   391.6   429.8   458.6   492.3   533.3   589.5   710.3  1023.0  6402.3  64983.6    65000  1714388737180  1714388742472
read      353.4   184.5   137.8   190.3   204.5   316.0   388.2   432.6   465.8   505.3   553.9   626.5   789.1  1094.6  6679.1  69782.6    70000  1714388743976  1714388749274
read      350.6   163.1   127.6   190.0   204.2   320.9   391.3   431.1   461.3   496.9   540.7   603.3   731.6   954.5  4384.3  74963.0    75000  1714388750778  1714388756087
read      355.8   200.9   137.8   192.8   207.7   324.3   393.2   433.8   463.6   499.0   543.2   610.1   748.3  1074.1  8066.4  80100.4    80000  1714388757590  1714388762896
read      347.1   164.9   137.8   190.1   204.4   317.4   383.6   422.4   451.2   485.7   530.6   597.3   742.6  1012.2  5555.2  85073.4    85000  1714388764400  1714388769705
read      352.7   180.4   137.8   192.7   207.8   323.5   389.1   427.3   455.9   490.3   534.7   603.4   744.6  1046.9  6837.5  89980.2    90000  1714388771209  1714388776514
read      346.9   166.1   137.8   192.0   206.8   318.8   381.4   418.1   445.7   478.9   523.5   591.6   740.2  1015.7  6722.9  94858.4    95000  1714388778018  1714388783309
read      355.3   187.8   137.8   196.3   212.6   329.1   390.8   426.5   453.4   486.0   530.1   598.9   743.2  1001.6  6180.7  99860.2   100000  1714388784813  1714388790121
read      363.2   169.6   137.8   197.8   215.0   336.8   398.9   434.8   462.5   496.5   542.6   620.9   784.7  1009.1  6278.1 104883.2   105000  1714388791625  1714388796922
read      376.2   201.7   137.8   199.7   218.7   345.8   409.0   447.9   477.4   516.5   571.2   656.0   833.9  1073.7  7260.7 109949.0   110000  1714388798426  1714388803716
read      448.3   232.5   137.8   221.9   250.1   404.7   488.6   546.7   592.6   645.5   710.3   800.3   947.3  1157.5  8552.8 114565.1   115000  1714388805220  1714388810527
read      468.3   237.0   137.8   234.6   267.3   422.5   506.5   567.0   615.0   672.5   742.4   837.9   991.4  1191.8  7868.7 118558.8   120000  1714388812032  1714388817330
read      504.4   259.1   137.8   270.2   302.3   461.3   565.7   624.1   665.0   710.6   763.3   835.1   962.2  1178.6  9714.3 121021.6   125000  1714388818834  1714388824137
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.56%,55.28%,100.00%
