#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      393.6   545.4   173.5   250.1   276.9   361.2   388.1   401.8   413.9   427.9   447.3   484.2   805.9  7925.6 23112.9   4896.0     5000  1714398799021  1714398804471
read      394.5   353.6   160.7   226.5   246.5   383.7   424.0   444.3   458.9   474.5   497.3   532.0   632.0  5697.9 15073.9   9970.6    10000  1714398805976  1714398811350
read      400.9   318.2   148.8   218.6   234.8   399.2   460.7   487.3   504.0   523.3   544.0   578.4   660.6  1961.9 15973.3  14985.4    15000  1714398812855  1714398818182
read      398.7   266.1   160.7   210.6   226.4   384.2   470.3   504.1   525.1   546.0   572.8   609.3   695.3  2005.1 11094.2  19905.2    20000  1714398819686  1714398825020
read      396.2   230.3   148.8   208.0   223.5   363.2   467.8   509.9   534.4   560.4   589.1   633.2   740.5  1822.5  9653.4  25053.2    25000  1714398826525  1714398831880
read      394.9   259.5   148.8   207.7   223.4   352.8   457.2   508.4   537.3   567.4   600.3   646.2   747.8  1814.8 10003.1  29947.6    30000  1714398833385  1714398838733
read      395.6   222.0   160.7   208.2   223.8   352.9   451.5   507.6   541.5   575.7   615.0   670.3   782.4  1625.2  9662.1  34892.8    35000  1714398840239  1714398845550
read      387.7   232.6   148.8   205.0   219.7   342.3   433.4   493.4   532.8   571.7   614.2   671.3   785.7  1536.4  9812.9  39906.6    40000  1714398847056  1714398852359
read      376.5   223.6   148.8   203.4   217.2   334.0   416.2   471.2   510.9   550.9   592.1   649.2   761.4  1408.1  9228.8  45011.8    45000  1714398853864  1714398859172
read      372.1   184.4   148.8   204.8   219.4   338.1   413.9   458.6   491.6   528.8   573.2   635.9   759.0  1309.2  5561.7  49899.4    50000  1714398860676  1714398865986
read      369.8   170.2   148.8   204.0   217.8   330.8   405.7   456.0   494.6   537.7   585.5   646.7   757.1  1070.3  4623.7  54712.8    55000  1714398867490  1714398872800
read      370.0   210.7   148.8   204.8   219.0   331.1   406.1   451.5   484.8   523.1   570.8   640.7   794.3  1227.9  9409.3  59915.6    60000  1714398874304  1714398879615
read      368.2   195.2   148.8   205.6   220.1   327.5   400.1   447.8   484.4   528.2   578.4   645.9   776.1  1099.1  7276.2  64794.6    65000  1714398881119  1714398886431
read      363.9   188.2   148.8   206.3   220.7   327.1   396.1   438.4   471.6   512.6   562.3   629.2   746.6  1072.8  7838.9  69968.4    70000  1714398887934  1714398893244
read      362.7   194.3   148.8   205.3   219.8   328.9   395.8   435.2   466.1   504.0   552.6   625.9   756.1  1073.6  9144.3  74979.0    75000  1714398894749  1714398900054
read      358.8   158.5   148.8   206.4   221.0   327.6   392.4   430.4   459.4   495.6   542.3   613.7   744.9   998.3  3973.3  79866.4    80000  1714398901559  1714398906863
read      360.9   208.3   148.8   207.5   222.5   330.1   393.7   430.2   458.1   492.0   536.0   604.3   743.1  1057.4 10904.4  84703.0    85000  1714398908368  1714398913668
read      357.3   205.7   148.8   207.8   222.8   330.9   390.1   424.4   450.1   481.4   523.6   588.4   730.4   990.3  9137.8  90092.7    90000  1714398915172  1714398920479
read      358.3   157.2   148.8   209.1   224.3   331.3   390.6   425.2   451.4   483.2   526.2   594.2   747.3  1030.4  5588.2  94678.0    95000  1714398921985  1714398927305
read      345.2   194.4   148.8   205.7   220.6   321.3   375.4   405.5   429.4   458.3   496.6   556.7   687.3   943.3  8074.8  99922.0   100000  1714398928809  1714398934127
read      356.9   166.9   148.8   211.2   226.9   332.6   388.3   420.8   445.0   474.1   513.6   579.9   730.1  1001.8  5192.7 104758.7   105000  1714398935632  1714398940937
read      389.7   188.6   148.8   215.9   233.5   355.6   416.3   453.6   482.8   521.8   583.2   699.9   926.9  1200.9  5913.4 109872.2   110000  1714398942442  1714398947743
read      421.9   170.7   148.8   230.8   255.8   394.7   459.1   498.7   530.7   572.0   628.0   711.7   860.6  1067.5  4896.1 114904.2   115000  1714398949248  1714398954561
read      412.7   196.7   160.7   223.0   244.6   380.5   447.5   490.4   524.7   568.3   626.5   713.7   868.3  1144.0  6675.9 119688.6   120000  1714398956067  1714398961374
read      547.8   266.2   160.7   294.7   329.5   515.1   609.7   663.2   702.4   749.3   808.5   888.9  1021.0  1336.9 12159.6 116035.2   125000  1714398962879  1714398968186
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.54%,68.34%,100.00%
