Total number of intervals = 161 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224)
Average QPS expected = 49274
Timestamp start: 1714498956731
Timestamp end: 1714499759257

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      409.6   229.9   160.7   222.5   237.9   357.8   444.9   498.1   536.8   579.0   628.6   701.0  1076.0  2255.4  7688.7  42966.6    42889
read      417.5   397.0   160.7   223.6   240.2   363.8   428.0   466.1   496.9   535.5   588.6   689.8  1618.2  3928.3 11927.0  93448.4    93552
read      403.5   322.0   160.7   220.8   235.2   350.5   419.7   462.0   495.9   538.4   591.9   684.5  1387.6  2858.4 11978.8  65753.0    65694
read      443.7   365.5   160.7   223.1   238.8   381.1   489.6   540.4   574.9   615.6   675.4   815.2  1236.9  3945.1 13369.8  29606.6    29574
read      411.6   251.3   160.7   223.3   239.1   360.7   437.2   485.7   523.8   569.4   624.8   709.8  1225.2  2403.4  6618.8  51389.8    51355
read      415.8   347.5   160.7   221.3   236.3   358.4   429.5   471.9   506.0   548.7   607.5   720.1  1529.3  3089.3 10754.2  67337.4    67361
read      531.0  1095.6   160.7   231.6   250.9   432.0   519.8   568.7   604.6   650.1   712.7   822.3  2264.4 13658.6 50495.3  16336.4    16287
read      427.0   345.3   160.7   222.9   239.1   363.1   428.9   468.1   500.1   541.5   601.9   740.2  1722.9  3655.1 10071.4  81347.6    81508
read      409.1   351.0   160.7   221.9   237.9   358.7   422.3   459.2   487.8   524.3   576.1   673.1  1531.2  4555.8  9864.5  87527.4    87619
read      413.3   308.9   160.7   226.2   244.2   370.6   431.4   467.4   496.4   532.2   581.9   672.1  1469.6  3135.1  9289.1  98976.4    99068
read      396.5   232.7   160.7   221.1   235.9   350.1   422.8   469.2   506.2   550.6   602.3   675.6  1057.7  2079.2  9130.2  51165.8    51267
read      745.6  2338.0   173.5   229.9   249.2   421.2   503.7   546.8   577.4   612.3   657.7   756.5 11704.7 34732.0 42123.3  11781.8    11822
read      465.0   484.7   160.7   230.2   250.8   393.6   464.8   509.4   545.4   589.7   651.5   778.8  1825.5  5879.9 17218.6  97427.6    97494
read      409.8   344.0   160.7   224.7   242.0   366.9   427.9   463.8   491.9   526.6   574.4   655.6  1483.6  3953.8 10181.5  97339.4    97350
read      393.7   203.9   160.7   220.3   234.9   353.0   428.6   474.3   509.9   550.0   597.4   666.7   871.0  1911.8  6496.6  55450.4    55460
read      393.6   273.6   160.7   221.6   237.4   354.7   420.2   458.0   486.5   521.7   568.7   645.6   929.1  3011.2  8548.6  85876.2    85984
read      407.1   283.6   160.7   223.1   239.0   361.2   429.0   468.6   499.5   537.3   587.9   679.6  1349.5  3137.7  9738.3  82219.0    82043
read      404.3   281.6   160.7   221.1   236.0   353.9   430.9   480.5   518.5   562.0   613.7   688.0  1087.6  2559.5  9403.2  52826.6    52873
read      622.2  1611.6   160.7   231.5   250.7   426.6   520.4   573.4   609.8   650.7   703.3   835.1  6558.8 30266.1 37936.7  13998.0    13911
read      452.6   479.8   160.7   223.2   239.1   367.8   458.6   516.9   561.1   615.2   695.2   885.0  1520.4  6890.2 12840.1  49977.6    49984
read      648.6  1990.4   173.5   233.1   252.3   409.4   473.8   509.0   534.7   564.4   604.1   697.0  8291.7 31926.5 40570.9   9318.8     9274
read      507.0   763.1   160.7   224.9   241.5   403.7   507.7   558.6   594.8   649.1   746.7   933.8  2264.2  9375.8 31363.6  27270.2    27187
read      619.2  1583.7   173.5   229.3   248.1   431.0   527.2   589.7   636.8   688.7   748.8   860.6  7141.1 30443.0 42144.7  18839.4    18735
read      444.0   408.4   160.7   224.0   240.8   373.5   443.0   483.7   515.5   557.5   620.8   790.2  1817.2  3497.9 13571.8  86292.6    86505
read      386.3   285.3   160.7   219.8   234.7   349.3   409.2   443.2   468.1   500.6   543.4   619.9   980.2  3621.8  8698.6  93037.6    93039
read      389.4   273.7   160.7   220.5   235.0   349.7   418.7   458.0   487.8   524.6   572.6   644.2   905.1  2364.1  8726.9  75948.4    75999
read      419.8   497.4   160.7   217.7   231.5   347.3   459.0   511.7   543.1   576.9   617.1   681.9  1062.6  6755.9 24963.5  32260.8    32324
read      399.7   364.3   160.7   219.3   233.3   344.6   407.3   445.0   473.4   510.6   560.8   647.8  1557.4  5132.0 11056.1  84083.6    84255
read      379.1   348.1   160.7   215.8   229.2   333.5   394.1   429.7   457.6   492.3   539.0   614.1  1131.7  3818.2 10574.4  81705.4    81759
read      395.3   362.0   160.7   214.5   227.9   332.2   428.9   485.9   521.0   556.0   593.1   643.5   890.4  4998.4 12280.2  37301.0    37291
read      388.5   459.4   160.7   215.7   229.2   333.3   401.1   449.7   487.6   531.5   580.6   641.8   916.2  4777.6 28196.6  53759.8    53818
read      491.0   695.6   160.7   221.9   236.9   382.1   489.7   542.6   579.3   626.7   717.8   923.4  2477.8  7461.9 29588.9  30132.6    30297
read      481.7   737.5   160.7   219.2   233.0   369.7   482.7   535.8   571.9   616.4   700.5   927.5  2115.5  7756.5 31536.2  31427.0    31569
read      395.5   337.4   160.7   216.1   229.5   333.3   427.4   485.8   522.5   559.2   598.2   652.8   977.7  4370.2 10716.9  38950.0    38927
read      593.1  1568.0   173.5   231.7   250.2   409.0   487.1   528.5   556.3   589.2   632.7   734.1  6763.2 30852.4 40163.4  10661.6    10652
read      411.3   408.9   160.7   220.0   235.4   353.3   414.2   451.3   480.4   517.5   568.6   665.5  1734.7  3823.7 11964.5  97840.6    98119
read      391.7   424.5   160.7   215.6   229.4   334.4   407.6   461.6   501.3   543.8   589.9   650.3   907.7  4798.4 15040.3  48177.2    48176
read      404.6   474.8   160.7   217.8   230.7   337.7   437.4   491.1   524.7   558.7   594.2   645.3   968.7  5609.1 24850.4  35088.8    34929
read      384.9   339.3   160.7   215.5   229.0   337.1   401.6   441.0   471.2   510.3   561.4   636.1  1147.6  3706.6  9693.5  69786.4    69735
read      570.1  1166.2   173.5   225.6   243.2   422.6   513.2   567.2   612.9   678.6   760.3   916.8  4346.2 14019.5 36328.7  20873.8    20753
read      409.6   390.2   160.7   218.6   232.1   346.0   409.4   446.7   474.7   511.3   565.0   674.0  1730.9  4011.8  8497.8  84660.0    84642
read      399.4   385.7   160.7   217.7   231.2   338.5   424.4   480.4   518.9   558.8   602.1   662.6   966.8  5386.4 12828.3  42366.0    42333
read      383.0   356.8   160.7   215.9   229.3   334.1   399.2   441.1   474.8   517.5   568.8   635.5   950.0  4421.6 11015.4  61668.2    61587
read      383.7   354.4   160.7   216.9   230.1   334.5   396.3   432.5   461.1   496.9   544.6   622.9  1285.4  4253.4 11655.0  78032.0    77998
read      381.4   310.4   160.7   218.7   233.0   343.7   400.0   432.3   457.4   488.0   530.2   601.0  1135.7  3612.6  9217.3  97639.4    97625
read      520.5   827.6   160.7   223.8   240.3   415.0   509.9   561.2   600.0   662.2   757.0   920.2  2856.6  9581.9 34525.9  23845.6    23781
read      386.3   384.8   160.7   216.6   229.8   334.7   398.5   437.8   469.9   510.5   562.7   635.0  1137.0  5382.9 11243.0  66850.0    66723
read      458.2   490.9   160.7   219.1   233.0   371.9   485.3   539.0   575.4   620.8   702.2   901.5  1568.6  5777.0 19696.1  31160.2    31016
read      394.6   384.7   160.7   216.5   230.1   335.5   411.3   464.4   503.6   546.6   592.7   656.0  1066.5  4380.0 14189.7  47412.6    47394
read      383.7   405.8   160.7   219.0   232.8   341.3   399.0   431.8   457.3   488.7   531.0   597.8   973.9  4770.4 15780.1  95213.2    95335
read      689.1  2510.3   173.5   242.7   267.3   370.5   411.1   433.9   451.7   470.6   503.7   606.8  7907.7 36314.7 43486.9   5254.4     5252
read      407.3   437.9   160.7   218.6   231.7   339.6   404.4   447.3   482.1   527.3   583.9   677.6  1587.2  5488.8 11701.9  65741.8    65908
read      576.7  1254.1   173.5   231.8   250.9   431.6   524.7   583.9   626.3   673.2   729.6   826.2  4745.2 20307.5 36613.3  16948.8    16889
read      413.0   502.2   160.7   216.8   230.3   339.8   428.9   486.8   525.7   566.2   612.6   684.6  1239.4  7314.0 28036.3  42909.6    42912
read      385.5   359.3   160.7   219.4   234.0   344.4   400.7   433.3   458.8   489.8   531.5   600.9  1249.7  4175.1 10964.9  99927.8    99898
read      515.4   788.7   160.7   223.8   239.8   404.8   507.0   560.1   602.1   666.6   774.1   975.2  2571.2  7508.8 32472.6  26557.2    26385
read      534.8   940.6   173.5   223.6   240.3   419.6   512.1   563.4   606.8   674.4   770.0   968.5  2979.7 10453.7 36500.7  22433.8    22616
