Random waveform, supplied seed
Total number of intervals = 81 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016)
Average QPS expected = 52097
Timestamp start: 1714599729284
Timestamp end: 1714600539725

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      396.3   684.0   148.8   220.7   236.7   348.4   397.1   421.2   436.8   456.6   480.1   524.4  1205.7  9887.4 35426.3   7359.1     7434
read      404.5   409.0   137.8   200.0   214.5   326.3   396.2   445.1   487.0   540.4   612.8   751.1  1703.4  4710.1 12892.4  67049.0    67201
read      389.9   398.5   137.8   197.9   212.5   322.3   384.0   423.6   456.0   498.8   562.8   692.8  1683.2  3912.4 11802.1  85913.1    85927
read      379.5   300.1   148.8   196.3   210.4   318.4   385.2   431.1   470.7   523.8   589.5   687.2  1413.7  2879.7  9330.4  63871.9    63953
read      475.7   811.3   148.8   199.9   214.7   345.1   464.0   531.8   581.3   649.7   764.5   938.1  2179.0  9228.7 35366.9  31601.3    31595
read      476.9   565.3   137.8   204.4   221.5   355.0   419.0   462.6   502.3   566.6   710.8  1520.9  1956.2  6179.5 15952.9  87743.0    87879
read      447.4   915.8   160.7   222.1   239.3   347.7   391.8   416.4   434.1   459.9   498.7   607.5  3068.6 11598.6 35417.9   7273.2     7287
read      387.7   400.4   148.8   198.4   212.7   322.3   393.3   441.8   482.7   532.9   594.2   693.4  1373.6  3890.5 12282.2  62284.6    62295
read      494.7  1289.8   160.7   223.1   240.7   342.1   385.1   408.6   428.4   454.2   496.2   732.6  4034.7 24860.6 36941.7   6600.8     6561
read      471.1   758.0   148.8   204.5   220.0   363.8   463.8   511.9   546.5   591.4   672.0   827.0  2790.3  8007.6 31236.4  22432.8    22532
read      393.1   434.0   148.8   200.9   215.2   325.1   395.3   444.0   485.5   537.1   601.1   690.1  1419.3  5628.0 13384.0  60640.6    60653
read      394.2   492.7   148.8   198.4   212.8   326.0   397.9   447.8   488.6   538.8   600.9   688.8  1354.8  6325.2 19769.3  58871.2    59076
read      380.8   356.9   148.8   197.6   211.7   320.7   389.4   435.6   476.0   527.1   588.5   675.8  1288.2  3747.6 12499.4  60149.9    60154
read      474.2   806.8   148.8   203.5   218.6   365.4   467.7   518.3   555.7   606.4   690.9   853.5  2626.7  9991.7 32073.4  22988.2    22964
read      488.2  1295.3   160.7   219.3   234.8   350.2   398.1   424.7   444.5   469.5   508.5   630.7  3670.1 23437.0 37744.7   8159.0     8172
read      476.4   831.3   148.8   201.2   216.0   348.0   459.3   516.1   555.0   606.1   698.4   909.6  2574.2 11584.3 31806.6  27680.6    27652
read      442.7   600.0   137.8   198.8   213.4   331.2   437.2   506.1   554.2   611.4   696.5   934.4  1683.2  7154.5 29755.1  37613.3    37594
read      445.2   512.5   148.8   204.2   220.1   376.2   476.5   531.5   574.5   629.7   699.9   807.5  1269.9  5983.1 28610.4  24396.0    24367
read      454.8   573.9   148.8   202.3   217.4   349.1   463.5   529.0   577.5   637.7   733.8   930.1  1608.7  6289.9 28513.9  33742.1    33771
read      400.8   432.2   148.8   199.7   214.5   327.5   393.3   434.5   467.7   510.5   574.3   701.2  1752.3  4582.8 13390.9  84906.0    84944
read      387.1   491.5   148.8   199.7   214.2   324.8   388.0   426.9   458.0   497.3   550.4   642.8  1573.8  5818.4 19838.5  85731.8    85666
read      400.2   385.2   148.8   197.6   212.1   321.8   396.8   454.1   502.6   559.3   627.8   771.1  1492.3  4051.7 12981.7  51915.8    51918
read      448.2   489.7   148.8   202.6   217.7   346.7   464.5   533.4   582.7   644.7   741.0   935.4  1496.9  4767.7 23164.5  34418.9    34406
