Random waveform, supplied seed
Total number of intervals = 162 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587)
Average QPS expected = 49492
Timestamp start: 1714595026160
Timestamp end: 1714595836641

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      412.1   364.3   160.7   222.6   240.8   373.2   431.2   462.4   484.6   508.6   540.8   591.6  1576.4  6005.0 10073.1   7421.4     7434
read      416.1   389.5   148.8   203.9   219.5   342.7   420.3   469.2   509.0   560.1   625.5   759.1  1727.5  4742.5 10535.8  67241.6    67201
read      438.5   484.8   148.8   205.3   222.7   354.3   426.4   471.7   508.8   557.6   627.8   801.9  1894.2  5531.3 11439.2  85869.0    85927
read      427.0   529.4   148.8   200.2   215.8   340.1   416.4   466.0   507.5   560.4   629.5   783.1  1956.3  5291.8 25199.4  63886.6    63953
read      486.8   561.2   137.8   205.2   221.7   379.1   504.5   577.0   631.1   703.7   811.1   996.1  1747.5  6979.7 22851.9  31572.6    31595
read      485.9   624.8   137.8   206.7   225.0   367.5   439.5   487.2   527.4   582.4   681.8  1483.6  2015.5  7835.4 24548.1  87972.8    87879
read      425.7   884.7   160.7   219.3   237.5   362.8   409.9   433.9   451.3   469.4   496.7   542.1  1651.1 12656.2 32035.8   7271.4     7287
read      402.2   292.6   148.8   201.1   216.0   337.9   412.7   462.2   503.0   555.2   620.2   738.5  1561.5  2740.2  7905.5  62526.2    62295
read      490.0  1232.2   160.7   221.9   239.0   345.9   389.9   414.5   432.8   458.3   495.2   618.3  4337.0 21024.3 32475.5   6606.6     6561
read      533.9  1060.3   148.8   205.6   222.1   397.2   506.8   566.2   614.0   682.4   773.6   940.7  3382.7 13076.5 32356.0  22422.6    22532
read      385.6   287.5   148.8   197.5   212.4   328.7   398.5   446.1   487.7   539.9   600.7   688.8  1358.5  2831.8  9539.6  60543.0    60653
read      385.5   264.8   148.8   199.0   213.4   329.7   400.4   450.1   492.3   545.4   605.9   691.3  1275.2  2344.2  9512.4  59105.4    59076
read      400.4   363.4   148.8   198.6   213.5   335.2   410.8   461.5   503.1   554.6   617.3   719.2  1493.0  3776.6 10417.8  59990.2    60154
read      404.7   597.6   148.8   201.4   216.1   350.1   444.2   482.7   507.3   536.6   572.4   635.9  1004.3  8605.6 30989.5  22740.4    22964
read      503.2  1273.0   160.7   218.7   235.7   363.2   413.1   442.0   465.5   497.1   546.4   716.8  3740.6 26764.1 34231.7   8125.4     8172
