Random waveform, supplied seed
Total number of intervals = 167 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491)
Average QPS expected = 49518
Timestamp start: 1714496727982
Timestamp end: 1714497560524

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      400.7   279.4   160.7   220.0   234.2   344.7   429.5   484.2   522.9   565.7   616.1   687.1  1069.0  2425.5  9742.4  42722.8    42889
read      408.1   351.7   160.7   222.0   238.1   359.6   422.7   459.8   488.8   525.6   578.4   677.2  1403.1  4264.5 11578.7  93471.8    93552
read      401.3   286.0   160.7   220.2   234.5   346.8   414.8   458.4   493.4   537.7   596.2   697.9  1359.7  2772.5 11325.2  65724.4    65694
read      442.4   334.5   160.7   223.7   239.6   378.9   484.4   535.0   569.4   609.8   665.5   785.2  1397.3  4113.7 11731.8  29539.8    29574
read      407.3   266.2   160.7   220.2   234.8   349.7   428.1   479.7   519.1   565.0   621.1   707.3  1278.9  2839.4  8520.2  51318.2    51355
read      405.0   284.3   160.7   221.3   236.4   350.3   421.0   465.2   500.3   543.4   600.6   701.0  1412.6  2732.1  8610.5  67466.0    67361
read      458.3   317.2   160.7   238.4   258.5   432.5   512.9   555.1   585.5   620.7   664.2   729.5   942.1  3963.0 11474.5  16376.4    16287
read      499.8   498.4   160.7   225.8   244.0   385.2   459.5   507.4   548.4   611.0   740.3  1545.8  1996.2  3632.2 16011.1  81589.2    81508
read      412.2   368.7   160.7   222.1   237.7   358.5   424.0   463.2   494.4   533.7   588.7   696.8  1572.8  3865.0 10109.3  87405.2    87619
read      416.7   394.8   160.7   224.4   242.1   368.5   431.8   470.0   501.6   540.9   594.9   694.0  1178.2  4709.1 12700.0  99219.2    99068
read      402.8   322.5   160.7   220.0   234.2   347.9   426.6   477.2   515.3   559.6   613.0   689.0  1072.1  2562.3 10366.0  51244.6    51267
read      667.2  1846.7   173.5   236.7   256.5   431.1   511.5   556.9   587.6   626.0   677.5   794.8  9387.3 30614.7 37582.7  11775.0    11822
read      443.7   400.2   160.7   226.8   245.7   380.2   449.1   492.2   526.9   572.5   639.8   795.3  1737.0  3978.0 13655.7  97260.6    97494
read      417.5   320.6   160.7   223.3   240.6   367.2   431.3   469.4   500.9   541.0   600.4   721.9  1514.2  3172.3 11637.7  97451.4    97350
read      408.8   365.0   160.7   220.4   234.6   348.2   423.7   471.7   510.4   556.1   613.0   699.4  1296.8  5012.7 10210.7  55457.4    55460
read      378.0   223.4   160.7   218.9   232.7   342.8   403.7   439.5   466.7   500.2   544.7   621.9   911.0  2192.6  6454.3  86057.0    85984
read      395.4   311.6   160.7   220.1   234.9   350.0   416.8   455.8   485.4   522.1   572.0   660.5  1181.8  2719.8  9683.4  81998.8    82043
read      407.1   302.9   160.7   221.2   236.1   350.4   432.6   483.8   521.0   563.5   616.4   699.6  1141.0  3285.8  9789.0  52771.0    52873
read      644.5  1729.6   173.5   235.9   255.4   430.1   518.7   570.0   606.5   647.7   697.9   799.1  8075.3 30539.8 37934.5  14013.8    13911
read      467.7   496.4   160.7   222.8   239.1   367.6   464.7   529.1   577.0   636.1   739.5   988.9  1706.9  5702.6 13707.9  49936.8    49984
read      651.6  1941.3   173.5   237.4   255.9   412.2   476.4   510.0   533.9   561.6   600.1   689.1  8664.9 31775.2 38985.8   9233.4     9274
read      498.6   709.2   160.7   225.7   242.4   407.7   511.8   563.6   601.1   655.4   754.5   942.5  1754.8  9261.6 31006.8  27193.6    27187
read      647.1  1616.6   160.7   230.4   250.6   443.3   539.1   600.5   648.7   703.8   768.8   883.0  7838.7 30407.1 37342.9  18757.2    18735
read      403.2   322.1   160.7   219.7   234.2   348.5   413.4   452.2   481.6   519.2   572.9   672.7  1651.9  3224.3 10043.0  86846.4    86505
read      382.9   234.3   160.7   221.3   236.9   349.5   410.3   445.4   471.2   504.4   548.5   625.3   855.4  2674.5  7813.2  92976.0    93039
read      374.7   253.3   160.7   216.5   230.1   338.1   404.4   443.9   472.1   507.0   550.4   618.7   799.1  2469.5  9342.5  76147.8    75999
read      426.8   392.1   160.7   220.7   235.6   362.1   469.7   520.6   551.7   584.8   627.6   708.4  1101.2  5667.3 13928.8  32352.6    32324
read      395.6   388.1   160.7   218.7   232.6   344.1   408.7   447.7   477.0   514.4   567.2   658.0  1210.1  4628.2 10125.1  84358.2    84255
read      382.6   363.0   160.7   213.9   227.7   330.8   392.9   430.8   460.4   497.5   547.0   629.5  1410.4  3412.1 16720.1  81877.8    81759
read      399.5   423.2   160.7   215.7   228.9   333.8   425.5   481.0   516.7   552.8   593.4   652.3   949.8  6121.7 15828.3  37466.8    37291
read      386.5   386.3   160.7   214.1   227.9   330.2   401.4   451.1   489.6   533.1   582.7   648.6   936.9  4810.0 10555.2  53789.4    53818
read      477.0   577.9   160.7   219.6   234.6   383.7   498.6   551.3   588.2   637.0   731.8   940.3  1726.0  6072.1 29785.5  30363.6    30297
read      490.4   798.9   160.7   220.7   235.9   374.0   488.7   542.0   579.2   627.6   719.3   940.9  2029.7 10354.1 35507.9  31381.0    31569
read      408.1   465.2   160.7   214.8   228.5   335.3   429.1   485.4   521.7   559.8   604.4   677.7  1181.4  5806.8 24169.4  38899.4    38927
read      565.0  1410.4   173.5   233.3   252.2   417.5   489.2   527.9   553.7   584.4   624.6   696.0  5219.8 30171.8 36774.3  10616.2    10652
read      425.7   407.1   160.7   220.9   237.3   360.4   424.1   463.1   494.8   535.4   593.6   720.2  1768.0  4230.4 11290.1  98041.2    98119
read      390.7   391.0   160.7   215.7   229.6   334.1   410.4   463.1   501.3   543.8   591.7   657.9   942.3  3545.3 13926.6  48087.2    48176
read      407.3   381.6   160.7   215.3   229.0   339.1   442.2   496.2   530.2   566.1   608.4   680.4  1096.3  5459.7 11854.2  34947.4    34929
read      382.6   367.9   160.7   214.2   227.8   329.4   394.2   435.4   467.8   508.0   559.3   635.1  1023.1  5103.4  9992.1  69558.6    69735
read      561.3  1085.8   173.5   226.5   245.0   432.4   525.8   583.1   633.6   696.4   774.4   907.2  3779.1 10688.9 37082.1  20686.8    20753
read      400.7   434.0   160.7   215.5   229.6   337.7   400.5   438.6   469.3   509.3   566.9   673.5  1644.4  5014.2 16611.4  84468.0    84642
read      389.8   346.4   160.7   214.5   228.1   329.8   414.1   470.1   507.8   547.2   590.2   649.5   930.3  5546.4  9671.1  42257.8    42333
read      383.5   379.8   160.7   215.2   228.6   329.8   396.6   440.5   475.3   518.3   569.8   640.1   988.1  4675.5 10893.2  61512.0    61587
read      386.8   388.8   160.7   214.6   228.3   333.3   398.1   437.3   468.1   507.5   560.1   645.1  1242.6  3738.8 12088.6  77834.2    77998
read      391.2   376.1   160.7   217.7   231.9   340.5   398.9   433.7   461.5   496.7   545.1   637.0  1467.9  4584.2 13445.7  97691.8    97625
read      531.3   862.5   160.7   223.1   240.4   418.3   515.2   568.0   613.3   683.1   788.1   975.3  3189.7  7760.3 32352.2  23856.8    23781
read      384.4   340.4   160.7   214.3   228.0   330.3   396.0   439.0   473.7   516.4   570.0   646.1  1240.2  3767.7  9956.7  66628.0    66723
read      500.4   693.3   160.7   221.2   236.8   381.6   495.5   551.4   591.7   648.7   765.8   998.7  2428.8  7335.9 30835.4  31029.4    31016
read      383.2   286.9   148.8   215.2   229.0   331.0   406.8   460.6   498.8   540.6   587.1   649.7   905.0  2439.1  9569.2  47402.2    47394
read      376.1   356.5   160.7   215.0   229.0   332.3   390.2   424.5   451.3   484.9   531.0   608.5  1038.7  4004.4 10241.6  95260.8    95335
read      666.3  2189.8   173.5   247.1   270.4   375.7   417.3   439.9   457.6   477.4   507.2   640.7  8058.5 32083.2 42465.6   5264.4     5252
read      387.2   352.0   160.7   214.6   228.3   330.9   398.3   443.3   478.6   522.1   577.1   662.0  1246.6  3063.6 10110.4  65638.6    65908
read      604.0  1383.3   173.5   230.2   250.2   435.0   528.6   588.9   634.5   683.6   742.6   852.8  6368.7 28686.2 35833.1  16968.6    16889
read      410.3   425.8   160.7   217.6   231.0   340.1   428.1   484.2   523.2   565.4   615.4   690.2  1229.1  5738.6 12093.8  42873.8    42912
read      394.0   372.1   160.7   218.4   232.8   344.2   403.7   440.5   469.0   505.7   558.2   658.9  1314.7  4350.0 14438.5  99933.8    99898
read      521.3   707.3   160.7   222.3   238.5   412.2   516.6   573.2   621.4   697.4   813.8   996.8  2488.9  7111.1 28917.6  26294.4    26385
read      545.3   966.9   173.5   226.0   243.6   419.7   512.5   564.0   608.7   682.0   790.5   995.5  3497.4  8440.0 38125.2  22506.2    22616
read      401.2   399.3   160.7   215.3   229.1   335.7   413.6   466.7   506.3   550.3   602.2   683.9  1305.5  4239.4 10531.4  50642.2    50605
read      390.8   433.7   160.7   216.8   230.9   339.9   400.3   436.3   464.5   499.6   546.3   629.2  1152.1  5749.0 12829.6  89965.8    90283
read      516.0   659.8   160.7   224.1   240.8   409.3   515.9   570.5   614.2   680.9   798.6   994.5  2690.3  6708.0 30608.1  26269.0    26273
read      395.3   442.5   160.7   215.5   229.1   331.5   406.9   459.0   497.4   539.8   588.3   658.6  1159.8  5207.1 16223.3  48544.8    48521
read      413.5   449.3   160.7   215.0   228.7   338.4   441.8   496.5   530.3   566.1   609.5   685.6  1231.3  6380.9 18855.4  34173.8    34058
read      386.5   396.3   160.7   215.4   228.9   331.5   395.5   435.0   466.6   506.0   557.9   639.8  1244.3  5271.6 12002.3  75638.6    75648
read      610.2  1407.2   173.5   229.5   249.6   440.0   539.2   604.3   654.2   708.8   775.6   889.4  6321.3 28942.4 36354.1  19513.0    19482
read      621.2  1548.7   173.5   231.7   252.6   433.7   529.5   584.1   621.7   664.4   717.5   806.9  6931.8 30508.4 38328.0  14967.4    15054
read      434.0   565.3   160.7   216.6   230.8   344.3   414.6   458.6   494.0   539.2   604.6   775.6  1881.5  6154.4 26155.7  75673.8    75754
read      633.8  1998.0   173.5   247.2   269.5   377.6   418.8   441.0   457.9   477.0   506.4   589.8  8264.2 31925.5 44698.4   5238.0     5187
read      632.0  1505.7   173.5   229.9   250.7   442.3   541.3   603.3   648.2   697.8   758.3   865.7  7033.1 29120.6 37749.7  17585.6    17656
read      416.5   476.7   160.7   219.5   234.8   353.1   416.0   453.4   482.1   519.2   574.4   687.1  1710.4  5911.6 19544.2  96507.2    96343
read      388.4   261.4   160.7   217.1   230.2   333.9   426.7   480.9   515.4   550.1   590.0   643.2   853.6  3495.8  9437.7  36476.2    36665
read      392.2   402.8   160.7   217.0   231.0   339.8   403.4   441.6   470.4   507.6   557.7   644.5  1324.6  5042.1 18145.8  85217.2    85269
read      458.7   453.0   160.7   220.5   235.3   371.4   486.6   541.0   578.2   623.5   699.3   905.3  1565.4  5312.5 13520.6  31658.6    31525
read      406.4   718.7   160.7   215.9   229.4   334.9   403.4   451.6   489.2   534.5   591.2   685.8  1558.4  5825.0 21379.4  61844.4    61798
read      622.5  1701.3   173.5   233.0   253.7   427.0   508.1   552.1   582.8   617.9   662.0   740.2  7494.5 30901.9 39619.5  12235.4    12253
read      525.6   757.3   160.7   225.0   242.3   418.7   520.4   574.6   621.5   693.5   803.0   984.5  2578.6  8463.5 31458.2  25505.0    25710
read      410.4   537.5   160.7   216.2   230.2   342.6   408.4   447.2   476.1   512.5   562.8   647.4  1757.3  6317.2 26618.2  80129.8    79937
read      644.6  2086.7   173.5   237.5   258.7   395.9   449.0   477.0   497.6   520.9   548.0   624.3  7769.1 31851.5 40152.0   7239.0     7271
read      412.8   419.6   160.7   217.0   231.1   343.6   408.0   447.0   476.8   516.8   575.8   698.2  1769.5  5281.0 12738.4  85579.4    85861
read      378.6   317.3   160.7   215.8   229.7   333.8   392.4   427.0   454.0   487.7   533.9   612.0  1213.2  3985.3  9217.9  91435.6    91467
read      389.0   444.2   148.8   214.5   228.2   333.0   398.1   438.9   470.7   510.8   563.5   643.9  1273.8  5244.1 15658.3  72092.8    72217
read      487.9   634.9   160.7   220.7   235.8   380.0   492.8   546.7   585.5   636.9   740.8   955.8  2269.0  6683.9 30586.6  30910.4    31080
read      380.5   396.6   160.7   214.8   228.3   330.9   393.6   431.3   460.7   497.3   545.3   622.4   981.0  4891.9 12993.8  76792.8    76878
read      384.5   429.1   160.7   214.8   228.7   334.6   395.8   431.1   458.6   492.7   538.3   613.7  1092.1  5477.5 14447.1  84429.6    84584
read      595.2  1539.1   173.5   234.2   254.0   424.3   504.9   549.8   582.8   619.8   666.8   748.3  6089.3 30646.4 38969.8  12594.4    12492
read      397.8   378.1   160.7   216.3   229.7   335.0   407.7   456.5   494.0   538.9   592.8   679.9  1369.0  4350.8 10805.3  56943.0    57106
read      384.5   431.3   160.7   216.9   231.4   341.2   399.2   432.8   458.6   490.1   532.5   599.8   873.7  5716.6 18569.8  96242.4    96245
read      665.7  2232.6   173.5   239.3   260.6   391.8   442.7   469.5   489.9   511.6   544.0   630.2  8202.2 35408.8 47341.9   6757.4     6791
read      423.5   476.7   160.7   217.3   231.9   349.1   412.9   450.6   479.4   518.0   577.2   727.3  1807.1  6023.4 12424.9  90158.0    90728
read      651.1  2215.2   173.5   244.4   267.0   369.4   408.4   430.3   446.7   465.6   494.8   585.7  7691.1 35309.8 49974.7   5138.6     5151
read      436.7   553.4   160.7   217.5   231.8   349.0   417.4   458.0   490.6   533.6   598.1   782.0  1900.4  6072.8 25301.9  82865.0    82969
read      391.8   334.4   160.7   215.4   229.0   333.3   418.0   473.2   511.4   550.4   594.6   658.4   986.8  4052.2  8899.3  42759.6    42635
read      386.9   442.5   160.7   216.6   231.0   339.0   396.1   430.1   456.8   490.2   536.5   618.7  1071.5  6501.1 16204.9  99191.4    99337
read      396.9   444.3   160.7   218.3   232.6   344.1   404.1   440.4   467.9   503.3   551.0   638.7  1473.1  5802.8 14715.9  95128.0    95192
read      384.8   379.9   160.7   215.3   228.9   332.0   397.9   440.1   473.1   514.3   566.2   640.5  1064.7  4787.1 11571.7  69119.0    69200
read      394.7   352.9   160.7   215.7   229.5   339.0   416.9   467.7   505.9   548.3   595.9   667.0  1032.0  4333.0 11642.4  49575.0    49459
read      504.0   695.3   160.7   222.1   237.8   396.1   506.3   561.0   602.5   665.6   781.4   980.7  2226.0  6765.4 30834.4  29042.0    29055
read      383.2   296.2   160.7   215.7   229.2   332.2   399.6   444.6   479.4   521.4   573.4   648.2  1057.6  3514.1  7668.1  64313.6    64324
read      540.5  1523.2   173.5   243.8   266.2   380.0   423.1   446.8   463.3   484.9   514.3   592.8  4738.4 30492.1 55941.2   5730.4     5705
read      396.0   287.4   160.7   218.0   232.0   343.6   408.8   448.1   476.8   513.2   564.5   658.3  1630.6  2831.1  9471.2  84633.2    84816
read      520.0   775.1   160.7   226.8   244.5   423.9   519.9   570.5   612.6   678.5   788.8   972.3  2299.6  9632.4 31643.2  23702.4    23714
read      403.0   280.9   160.7   217.5   231.4   346.3   416.7   458.5   490.5   529.9   581.8   677.1  1671.7  2784.6  9443.3  74143.4    74116
read      554.4   915.1   160.7   230.7   250.7   446.1   544.7   606.9   658.4   716.2   782.8   889.8  3566.0  8453.1 32094.8  19982.4    19948
read      401.3   303.4   160.7   220.0   234.4   348.8   434.7   488.0   524.7   563.8   608.5   673.1   974.0  3279.6 10247.6  44212.6    44213
read      549.6  1066.9   160.7   229.1   249.5   441.0   534.4   590.0   633.7   684.4   743.9   847.5  2806.4 13993.5 37715.1  19416.8    19454
read      414.2   461.8   173.5   240.5   261.4   393.1   436.7   458.9   473.2   491.8   511.1   544.6   650.4  6494.5 18564.9   7174.2     7190
read      395.1   213.0   160.7   219.0   232.9   348.4   431.4   482.8   519.4   559.1   605.2   675.8   927.9  1679.9  7492.2  47420.8    47657
read      421.2   306.6   148.8   219.9   234.9   362.8   456.5   512.0   549.6   592.3   649.6   768.0  1159.7  2285.7  8128.4  44285.6    44399
read      423.2   539.5   173.5   243.4   264.9   387.6   427.8   448.5   462.3   478.7   501.3   541.0  1186.4  8920.2 19559.3   6467.4     6481
read      398.2   494.0   173.5   243.7   265.7   372.9   409.8   429.6   443.1   458.4   475.3   506.1   617.4  6277.0 14052.1   5815.4     5807
read      873.2   713.9   160.7   290.3   334.0   497.3  1158.2  1508.3  1590.8  1672.8  1758.0  1870.7  2780.5  4001.3 16961.4  82689.4    83137
read      439.5   587.7   160.7   232.0   250.0   400.3   461.3   491.6   511.3   535.5   566.6   629.4  1467.0  7838.6 35268.2   9494.4     9580
read      486.5   284.0   160.7   226.3   244.6   433.3   544.8   609.1   662.3   727.4   808.1   930.8  1244.4  1743.0  7768.3  37381.0    37385
read      488.9   295.1   160.7   226.2   244.8   443.0   548.4   608.1   656.7   719.9   799.2   924.4  1228.0  1822.3  9287.8  33605.0    33706
read      483.9   303.3   160.7   226.0   244.6   436.9   544.1   604.4   652.4   714.1   792.0   909.9  1176.2  1738.1 10480.1  35231.2    35204
read      493.7   370.3   160.7   225.3   243.3   397.3   516.6   591.1   657.2   744.1   864.1  1073.8  1585.0  2253.6 10804.1  50625.0    50438
read      492.2   336.6   160.7   223.7   241.4   402.1   525.2   598.5   659.0   739.6   854.1  1050.9  1558.9  2082.5 10022.9  48664.8    48878
read      492.7   343.7   160.7   226.2   244.4   422.9   542.8   612.0   668.3   738.9   829.8   971.9  1370.4  2247.5 11829.5  42877.6    42682
read      474.9   298.7   160.7   227.5   247.1   439.1   532.2   585.9   629.8   684.2   749.1   847.3  1066.1  2430.4 11999.2  27497.4    27416
read      500.9   388.4   148.8   225.4   243.8   383.4   492.1   572.8   648.4   752.9   911.3  1183.1  1794.4  2636.3 11264.1  64276.4    64424
read      501.8   383.8   160.7   226.7   245.2   385.2   493.9   575.9   651.7   760.4   916.1  1179.4  1760.0  2549.5 13334.1  64380.8    64364
read      395.0   395.1   187.4   247.3   269.3   373.8   408.4   427.0   439.4   456.0   473.1   504.9   635.0  5069.8 17247.8   5493.6     5481
read      463.5   265.7   160.7   224.4   242.9   434.1   524.7   576.6   617.9   668.9   728.7   806.1  1006.5  1591.8 10644.0  26093.0    26227
