Random waveform, supplied seed
Total number of intervals = 85 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908)
Average QPS expected = 52162
Timestamp start: 1715287070894
Timestamp end: 1715287916394

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      435.7   906.1   173.5   225.3   245.1   367.4   417.6   445.9   465.6   489.4   518.5   567.9  1409.5 12848.1 32467.8   7398.2     7434
read      473.7   699.2   160.7   213.5   229.1   348.6   422.1   472.4   516.3   580.0   716.2   976.9  2052.0  9301.7 30101.5  67146.0    67201
read      369.5   236.1   160.7   210.6   224.8   335.1   395.5   431.0   458.9   493.2   538.7   616.4   860.0  2429.9  8241.0  85900.4    85927
read      377.6   210.8   160.7   211.3   225.3   342.0   407.7   447.2   477.1   513.2   558.6   634.5   895.3  2119.1  6779.6  63901.3    63953
read      384.8   273.2   160.7   213.4   227.7   345.6   421.9   466.8   496.1   527.7   566.0   631.2   872.3  1928.0 12430.9  31574.8    31595
read      364.3   205.2   160.7   210.6   224.8   332.8   392.0   426.5   453.2   486.1   530.7   604.5   826.1  1998.5  6720.7  87987.3    87879
read      903.9  3132.2   160.7   217.9   236.3   364.3   417.0   447.7   469.1   498.1   541.3   974.4 16018.0 36886.9 43512.1   7371.6     7287
read      403.8   386.2   160.7   211.4   225.7   348.8   417.7   460.4   493.6   533.7   587.9   698.9  1473.3  3492.1 15790.4  62175.0    62295
read      803.9  2931.0   160.7   220.1   241.5   359.2   403.8   430.2   450.3   473.3   512.7   824.2 16225.9 35819.7 48722.3   6534.9     6561
read      402.3   427.0   160.7   214.9   228.7   357.1   437.3   477.3   503.5   533.3   572.4   649.0  1106.5  4219.7 16589.7  22509.1    22532
read      407.7   307.3   160.7   213.4   227.4   353.3   423.9   467.5   502.6   545.7   607.1   726.5  1466.6  2995.1  9793.4  60841.3    60653
read      404.5   270.8   160.7   212.9   226.9   353.3   423.5   466.9   501.6   544.5   605.9   723.6  1404.6  2669.7  7389.6  59051.2    59076
read      407.1   285.3   160.7   212.6   226.8   355.0   426.4   470.0   504.4   546.8   609.2   728.4  1421.1  2727.3  9544.8  59864.9    60154
read      395.1   338.5   160.7   214.8   228.3   352.3   432.5   472.5   499.6   529.5   567.1   637.2  1060.3  3637.9 12533.2  22999.0    22964
read      432.4   782.9   173.5   222.4   242.4   378.8   429.9   458.0   477.6   501.8   534.9   593.6  1371.8 10427.0 35781.8   8133.4     8172
read      413.6   522.7   160.7   215.3   229.1   353.1   434.9   481.7   512.3   546.2   592.2   689.4  1221.0  5369.2 30629.7  27659.8    27652
read      408.4   342.8   160.7   214.9   228.9   353.7   427.5   475.9   511.8   552.8   610.4   718.6  1300.9  3039.7 11990.0  37612.1    37594
read      396.9   323.0   160.7   217.2   230.3   353.2   434.6   477.1   504.4   535.5   575.3   646.7  1063.0  3339.6 12264.0  24362.5    24367
read      399.6   266.0   160.7   215.3   229.3   353.4   428.2   474.8   508.2   545.4   593.4   680.8  1166.7  2561.2  9037.9  33831.6    33771
read      411.3   344.2   160.7   216.1   230.7   355.1   421.7   462.2   494.3   535.2   593.2   711.3  1624.1  3902.8 10031.2  84964.2    84944
read      381.7   280.8   160.7   212.0   226.3   340.9   403.0   440.5   469.3   505.9   555.0   641.4  1001.7  2899.5  9801.7  85637.1    85666
read      410.1   425.6   160.7   211.4   225.5   350.9   421.3   466.7   502.4   544.2   601.2   719.0  1413.5  3568.8 14731.4  51876.7    51918
read      394.2   372.4   160.7   211.2   225.4   341.4   416.1   464.1   497.3   533.7   578.6   658.3  1155.9  3952.3 13596.9  34340.8    34406
read      389.2   310.6   160.7   212.2   226.0   341.6   422.5   468.3   498.5   531.0   571.2   639.3  1067.2  2755.8 11575.1  28600.5    28664
read      396.4   364.4   160.7   211.7   225.8   345.9   417.2   464.6   499.4   537.9   585.4   669.1  1178.9  3876.6 10974.5  38361.1    38289
read      450.0   656.1   160.7   214.3   228.5   370.6   451.2   492.5   522.4   561.6   637.9   809.2  1829.1  7509.9 31381.4  20641.1    20658
read      495.4   958.9   160.7   219.9   235.9   384.2   449.9   489.4   523.1   573.0   650.0   795.8  2939.7 12690.8 32149.4  13846.5    13840
read      420.6   564.5   160.7   216.3   231.6   354.0   418.8   458.6   490.1   530.5   587.6   699.3  1657.4  6685.4 29330.6  93418.1    93419
read      424.4   483.7   160.7   219.6   236.0   364.9   429.5   469.5   502.6   543.9   603.3   717.2  1615.5  5679.1 18191.0  98238.2    98284
read      400.4   375.8   160.7   211.3   225.2   342.8   409.1   450.7   483.6   524.9   581.8   692.9  1527.4  4012.4 11374.6  71217.2    71313
read      398.6   400.1   160.7   210.7   224.8   344.1   413.3   459.8   495.0   534.7   584.5   672.6  1276.5  4642.8 12890.7  42157.4    42089
read      408.8   487.1   160.7   211.3   225.4   348.2   416.8   462.5   498.2   539.5   592.6   692.6  1353.9  6205.6 21783.0  46429.9    46458
read      398.6   447.1   160.7   212.4   226.6   343.3   422.4   469.6   501.4   535.9   579.1   658.4  1166.8  4768.9 24333.8  30764.6    30755
read      401.7   375.1   148.8   211.7   226.0   351.6   422.2   467.9   502.6   542.5   592.9   681.9  1165.3  4699.9 12157.0  42931.7    42889
read      400.4   444.4   160.7   213.9   229.0   347.9   408.8   446.3   474.8   512.3   564.9   660.2  1429.4  5486.5 14450.1  93653.1    93552
read      402.0   387.9   160.7   211.6   225.4   345.3   414.0   456.9   490.4   531.9   588.2   696.1  1442.1  4196.2 11624.3  65802.6    65694
read      392.5   403.6   160.7   211.7   225.6   340.0   418.7   465.1   496.3   529.5   569.5   638.1  1078.3  4786.7 15312.4  29563.3    29574
read      398.5   318.9   160.7   210.8   224.7   349.5   418.3   462.4   497.1   538.5   592.0   691.3  1257.6  3143.0 11061.2  51294.4    51355
read      398.4   371.8   160.7   210.5   224.4   342.9   409.8   451.9   485.1   527.6   585.5   695.0  1462.7  3512.3 12074.0  67399.4    67361
read      484.6   779.0   160.7   217.1   231.5   384.2   456.9   498.3   533.8   587.4   677.8   836.8  2756.6  9085.7 31027.6  16287.7    16287
read      412.8   458.4   160.7   213.3   227.5   348.2   413.5   453.8   485.7   526.7   585.1   706.6  1691.2  5276.1 17834.7  81503.8    81508
read      404.8   433.4   160.7   213.7   228.1   346.9   410.5   449.4   479.6   519.1   575.9   686.5  1582.9  4436.8 12658.8  87418.1    87619
read      429.3   441.3   160.7   222.2   240.2   372.6   437.3   479.4   513.1   557.4   622.0   736.1  1523.1  5124.1 14470.6  99055.2    99068
read      392.5   254.5   160.7   210.8   224.8   349.2   418.4   462.2   496.2   536.7   588.4   682.1  1156.7  2344.4  7987.4  51285.7    51267
read      634.0  1898.8   160.7   219.1   235.5   389.5   466.1   513.9   547.1   587.1   639.0   748.5  8932.1 31153.6 39366.0  11875.5    11822
read      405.8   367.1   160.7   213.0   228.0   346.3   406.9   444.8   474.1   513.1   571.7   700.9  1697.7  3540.9 12465.3  97359.0    97494
read      392.5   305.7   160.7   214.7   229.7   347.0   405.9   441.8   469.5   505.7   556.0   648.7  1494.3  3156.2  8864.2  97422.9    97350
read      386.6   304.6   160.7   209.0   222.7   342.9   406.6   448.5   481.5   521.7   573.5   662.7  1168.4  2705.3  8336.0  55559.0    55460
read      385.4   347.7   160.7   210.4   224.4   336.1   396.9   433.2   462.3   499.0   548.4   644.2  1446.1  3211.7 12488.0  85959.7    85984
read      379.8   267.6   160.7   209.1   222.9   333.2   394.8   431.4   460.5   497.6   547.5   641.0  1413.5  2765.6  7828.5  82003.0    82043
read      390.8   283.8   160.7   210.1   223.8   346.6   412.7   455.6   489.3   529.8   581.9   673.3  1171.9  2715.4  9836.3  52716.2    52873
read      481.2   834.0   160.7   215.1   230.0   377.9   442.4   481.8   516.5   571.7   652.6   816.4  2648.0  9627.2 32370.8  14018.9    13911
read      398.7   294.6   160.7   210.7   224.7   349.3   416.5   460.2   494.9   536.9   591.3   694.7  1343.0  2791.5  8037.0  50050.9    49984
read      718.3  2325.1   173.5   219.9   237.7   383.7   451.8   490.6   517.8   548.5   595.7   751.7 10443.7 35912.8 42198.2   9256.4     9274
read      401.7   482.4   160.7   210.9   224.5   340.7   423.5   468.5   497.9   530.0   571.0   656.3  1209.6  6904.5 19932.3  27113.4    27187
read      468.7   645.4   160.7   214.8   229.3   381.1   459.6   503.0   539.3   592.9   685.6   841.4  2175.3  7593.1 27928.0  18803.9    18735
read      392.0   280.2   160.7   212.0   226.3   341.7   402.7   440.5   470.1   507.9   562.7   668.6  1531.4  2972.7  7831.0  86398.4    86505
read      385.9   292.7   160.7   212.8   227.4   339.5   398.4   433.7   462.2   498.0   547.2   640.7  1449.4  2917.7  8665.6  92957.1    93039
read      374.6   258.9   160.7   210.1   223.9   331.4   393.1   429.8   459.2   496.0   544.6   632.9  1138.3  2630.3  8788.0  76021.5    75999
read      381.9   284.7   160.7   210.3   224.1   336.8   410.9   458.3   490.2   524.4   565.0   632.5   993.7  2743.6 10325.5  32381.3    32324
read      381.4   273.1   160.7   210.5   224.5   337.2   398.0   434.1   463.0   499.3   548.2   639.5  1350.0  2813.0  8740.8  84139.4    84255
read      382.4   298.2   160.7   210.1   224.0   336.7   398.5   435.6   465.6   502.7   552.4   641.7  1284.4  3213.7  9327.3  81835.7    81759
read      377.1   277.7   160.7   209.1   223.0   334.2   401.9   448.8   482.9   519.8   562.6   629.1   932.9  1971.2  9591.2  37356.8    37291
read      384.0   265.7   160.7   209.9   223.7   343.9   408.4   450.0   482.6   522.3   573.1   656.2  1057.1  2325.8  9843.8  53853.7    53818
read      383.6   279.5   160.7   211.5   225.5   339.8   416.4   462.9   493.8   527.0   566.8   631.4   935.7  2656.9 10853.8  30279.5    30297
read      385.3   318.9   160.7   211.0   225.0   339.9   416.4   463.3   494.9   528.6   569.1   634.7   967.7  2972.1 14574.0  31440.0    31569
read      384.5   294.8   160.7   210.1   224.0   340.8   409.7   456.2   490.0   527.4   572.7   643.3   981.8  2683.6 10668.2  38862.7    38927
read      568.7  1494.7   160.7   221.9   240.5   395.2   473.0   518.7   548.6   586.1   634.5   725.1  5647.4 30277.9 37794.9  10660.6    10652
read      418.8   379.9   160.7   218.0   234.0   359.1   421.6   460.8   492.4   533.2   591.0   713.9  1697.5  3972.4 12329.2  98066.0    98119
read      383.6   217.2   160.7   209.5   223.4   345.7   412.6   455.5   488.8   528.2   577.3   657.4   976.7  2069.8  6654.8  48129.9    48176
read      384.0   294.9   160.7   210.7   225.0   340.9   412.9   459.9   493.0   529.0   572.2   637.9   933.2  2705.3  8915.7  34821.7    34929
read      379.2   257.9   160.7   208.9   222.4   335.2   398.5   436.6   467.6   506.0   557.3   647.0  1218.6  2564.3  7165.5  69649.4    69735
read      446.2   560.6   160.7   214.1   228.4   372.9   452.5   494.5   526.6   571.9   657.3   814.8  1632.6  5806.2 29651.2  20831.7    20753
read      384.1   289.7   160.7   212.0   226.3   342.0   404.6   443.1   471.9   509.4   560.7   647.8  1100.5  2776.2  9794.8  84684.9    84642
read      381.6   206.7   160.7   209.6   223.5   344.0   411.1   456.2   490.2   528.8   576.0   649.4   919.0  2076.8  6690.5  42449.6    42333
read      403.5   265.9   160.7   213.8   228.3   358.5   432.1   477.2   511.4   552.6   610.9   717.1  1115.0  2475.2  8086.9  61600.2    61587
read      357.1   182.9   160.7   208.1   221.8   329.7   390.9   425.9   453.0   486.3   528.3   588.2   735.0  1219.9  6980.8  77979.9    77998
read      355.7   151.3   160.7   212.3   226.6   332.3   387.7   419.1   442.8   471.9   511.1   574.7   718.7  1221.4  4384.9  97572.1    97625
read      374.7   248.9   160.7   215.4   229.6   349.6   425.0   460.0   481.8   504.0   530.9   568.8   680.7  1646.4 11581.3  23853.0    23781
read      362.4   185.6   160.7   208.5   222.4   334.8   398.6   435.5   464.5   498.5   538.7   594.9   742.7  1322.1  6093.4  66841.8    66723
read      370.3   202.0   160.7   212.4   227.0   339.7   414.3   456.6   483.2   509.7   539.5   582.4   699.0  1457.3  8629.8  30985.8    31016
read      370.4   184.9   160.7   209.8   224.2   343.9   407.7   448.5   478.8   511.9   548.2   599.5   734.1  1442.3  7218.1  47279.4    47394
read      353.7   180.1   160.7   210.7   224.8   328.5   384.3   416.1   439.8   469.6   508.5   571.9   719.9  1289.8  7742.5  95210.1    95335
read      354.3   451.2   160.7   234.3   256.9   327.8   350.5   363.7   372.0   384.5   399.1   429.2   622.6  7762.5 18072.8   5287.3     5252
read      364.3   185.9   160.7   209.5   223.6   335.5   398.7   435.5   464.3   498.1   538.4   594.9   744.4  1602.1  6978.6  32992.3    65908

Total QPS = 52072.2 (44001032 / 845.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 10868255398 bytes :   12.3 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 100.00%,50.00%,100.00%

