Random waveform, supplied seed
Total number of intervals = 85 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908)
Average QPS expected = 52162
Timestamp start: 1715286200906
Timestamp end: 1715287046385

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      449.9  1057.6   173.5   225.7   246.1   371.9   422.3   450.0   468.7   492.1   520.7   569.6  1369.5 17502.7 35684.1   7411.5     7434
read      515.6  1005.7   160.7   216.1   232.3   355.2   423.4   467.3   505.6   561.9   689.4  1269.1  3475.8 12676.9 35955.0  67071.9    67201
read      385.7   230.2   160.7   214.1   229.2   348.8   413.7   453.3   483.2   520.1   570.5   657.4   920.5  2351.5  7651.2  85710.9    85927
read      383.6   214.3   160.7   212.4   226.6   348.0   418.0   459.0   489.9   526.4   573.4   654.9   892.6  1822.5  6723.7  63919.5    63953
read      390.9   225.4   160.7   214.5   229.4   356.5   432.5   475.9   504.2   535.5   575.2   645.6   875.0  1741.9  8114.0  31542.8    31595
read      382.5   222.1   160.7   213.5   228.7   348.3   411.5   449.6   478.6   515.0   565.1   649.2   897.5  1973.2  7567.8  87743.2    87879
read      848.4  2918.1   173.5   218.7   237.7   363.4   414.9   444.9   466.6   494.8   536.0   961.6 14931.2 32499.2 46631.7   7307.4     7287
read      424.2   359.4   160.7   212.6   227.4   358.8   433.1   479.9   516.4   562.3   630.2   784.2  1639.9  3601.5 12426.3  62139.6    62295
read      955.5  3323.3   173.5   220.5   242.4   360.3   407.5   435.0   456.9   484.1   531.5  1540.2 18398.0 35534.2 40094.5   6599.7     6561
read      400.9   341.3   160.7   215.6   229.5   358.5   440.1   479.8   505.7   535.7   574.9   654.3  1104.6  3813.5 13164.5  22518.7    22532
read      421.4   342.1   160.7   213.8   228.5   361.0   435.4   481.9   517.8   562.7   628.2   755.4  1572.1  3239.6 11007.4  60642.4    60653
read      427.7   394.5   160.7   214.6   229.2   364.5   441.6   490.1   527.2   573.3   638.9   773.2  1567.8  3569.9 12683.5  59185.3    59076
read      425.8   394.1   160.7   214.6   229.2   363.3   438.6   486.7   523.6   569.2   633.9   767.9  1580.6  3834.3 10846.4  60191.6    60154
read      399.6   373.7   160.7   215.3   229.2   356.2   436.9   477.0   503.3   533.3   571.8   640.7  1074.8  4195.7 14347.6  22928.7    22964
read      468.5  1164.2   160.7   222.0   240.5   374.6   424.9   452.6   471.3   496.9   531.0   593.3  1553.7 18725.5 33582.0   8186.9     8172
read      426.4   567.8   160.7   215.8   230.2   359.3   441.3   488.1   519.8   555.2   606.0   713.9  1357.5  7833.2 30462.4  27674.6    27652
read      420.5   345.7   160.7   214.7   229.6   365.3   441.6   490.9   526.4   567.9   625.5   733.0  1353.8  4376.7 11027.1  37618.9    37594
read      399.4   388.9   160.7   214.9   229.1   354.3   435.7   477.3   504.3   534.3   572.3   637.1  1058.3  4873.2 18315.5  24304.0    24367
read      399.5   271.6   160.7   213.8   228.5   355.5   431.2   478.2   510.6   547.1   593.9   678.6  1087.8  2278.1 10560.4  33753.1    33771
