Random waveform, supplied seed
Total number of intervals = 162 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587)
Average QPS expected = 49492
Timestamp start: 1714595949873
Timestamp end: 1714596760343

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      410.7   657.8   160.7   223.9   242.1   355.8   400.9   427.4   447.3   470.6   506.7   577.3  1664.3  8446.4 29744.7   7328.2     7434
read      386.7   354.2   148.8   196.0   210.0   313.9   377.7   424.5   466.1   524.5   596.7   726.1  1615.9  3739.5  9520.8  67282.2    67201
read      394.8   444.3   137.8   197.8   212.3   318.1   378.6   418.6   451.8   496.3   563.2   707.4  1774.2  5094.9 13993.3  85841.6    85927
read      401.9   501.9   148.8   196.6   210.9   318.5   385.4   431.5   473.1   530.9   600.8   714.8  1709.3  5543.3 24089.2  64087.0    63953
read      480.7   646.2   148.8   202.7   218.2   375.0   496.0   574.1   636.0   708.6   794.4   927.8  1621.4  9330.1 31113.1  31571.8    31595
read      463.9   569.9   148.8   203.1   219.3   337.8   401.1   444.8   482.0   541.1   676.3  1472.5  2131.2  5794.7 18994.1  87912.8    87879
read      396.4   654.5   160.7   221.6   238.8   344.2   386.6   409.4   426.8   447.5   474.0   537.2  1655.5  7605.1 31541.6   7263.0     7287
read      380.6   292.0   148.8   196.8   210.9   316.3   384.2   432.9   476.1   532.8   599.0   705.8  1372.5  2437.8  8858.3  62260.0    62295
read      450.0  1140.1   160.7   221.7   241.0   341.9   383.9   406.9   426.3   449.6   480.7   542.8  3435.3 20747.5 37684.0   6538.6     6561
read      470.9   810.2   148.8   204.5   220.0   369.4   468.2   522.9   564.9   618.8   696.2   832.7  2064.8 11570.3 36236.0  22521.0    22532
read      379.4   311.5   148.8   195.1   209.3   313.9   379.7   429.6   473.5   532.1   598.9   697.8  1383.5  2839.0  9887.7  60580.6    60653
read      385.5   268.4   148.8   196.1   210.4   319.3   389.6   441.3   487.0   546.6   612.0   727.7  1384.7  2784.4  8246.9  59021.8    59076
read      359.3   292.7   148.8   195.4   209.2   310.3   373.0   416.8   453.5   499.0   556.5   626.5  1014.9  2449.8  9254.2  60374.0    60154
read      472.7   847.3   148.8   204.0   219.0   365.4   466.6   517.0   554.3   597.4   673.2   837.7  2313.1  8575.9 34406.6  22765.6    22964
read      466.1  1103.2   160.7   219.4   237.3   354.0   401.1   428.6   449.8   475.5   516.6   635.7  2895.2 15775.6 36510.6   8088.0     8172
read      437.0   591.3   148.8   198.8   213.4   339.9   452.4   507.9   548.1   592.2   670.1   847.9  1664.0  5802.6 29915.6  27609.4    27652
read      452.7   725.1   137.8   196.1   210.7   324.4   431.1   500.8   549.4   604.5   703.3   936.7  2042.4  7708.8 30564.6  37655.0    37594
read      463.3   748.4   148.8   200.6   215.4   356.1   461.0   512.8   550.8   594.3   672.7   831.6  2485.6  7807.1 33097.4  24475.4    24367
read      454.3   655.0   148.8   198.1   212.8   334.1   448.9   516.1   564.7   622.2   731.1   932.3  1769.9  9942.4 31211.5  33808.0    33771
read      376.4   355.8   137.8   197.5   211.8   315.9   375.5   415.2   447.3   490.0   550.5   653.6  1579.0  4371.9  9801.4  85081.4    84944
read      378.0   420.7   148.8   197.3   211.6   316.0   375.8   415.8   447.9   490.2   547.9   644.4  1553.2  5000.6 13998.3  85382.4    85666
read      379.7   372.7   148.8   194.1   207.7   310.9   379.1   431.7   478.1   533.1   591.8   669.9  1362.7  5553.0 10449.9  52079.6    51918
read      442.2   530.4   148.8   197.5   212.1   337.8   452.6   520.6   568.0   623.8   724.4   901.8  1610.2  5997.4 20369.1  34500.8    34406
read      460.2   774.9   148.8   197.8   212.7   344.5   456.9   514.6   557.1   608.1   692.4   858.8  2362.5  7938.0 35406.8  28803.8    28664
read      443.7   568.2   137.8   197.2   211.7   326.9   434.4   506.2   560.0   620.6   725.5   938.3  1767.4  6558.4 21303.0  38122.8    38289
read      491.3  1022.9   148.8   202.8   217.8   368.5   462.7   509.6   545.1   589.7   662.1   802.7  3496.6 13557.3 34897.7  20702.6    20658
read      458.2   865.5   148.8   211.7   228.0   376.6   446.6   484.0   511.2   550.2   601.5   707.5  2472.8  7767.6 35190.7  13816.2    13840
read      381.8   535.6   148.8   198.8   213.3   317.2   373.7   410.4   439.9   480.4   539.3   637.8  1551.5  6493.9 29925.5  93359.4    93419
read      376.0   464.5   148.8   199.8   214.6   317.9   373.9   409.8   438.0   475.0   529.6   621.0  1475.9  5445.5 17202.2  98198.6    98284
read      366.5   327.6   148.8   195.9   210.0   309.6   369.0   410.4   447.6   497.3   563.8   649.2  1288.1  3593.2 13903.7  71055.0    71313
read      422.5   527.2   148.8   198.1   212.7   320.3   413.2   481.4   530.6   582.9   648.8   855.8  1618.6  6790.5 18916.7  42086.6    42089
read      428.1   524.9   148.8   198.6   213.3   320.0   408.0   480.3   535.8   595.6   676.1   916.8  1740.3  5680.1 22939.5  46551.4    46458
read      431.0   578.1   148.8   197.1   211.5   333.9   447.8   507.3   549.1   591.1   654.5   824.0  1602.3  7139.2 30650.3  30667.8    30755
read      438.3   613.7   148.8   196.3   210.8   320.5   418.3   492.0   546.0   605.2   697.4   948.3  1814.4  6605.3 30190.2  42939.8    42889
read      376.0   426.7   148.8   197.4   212.1   315.7   372.7   409.1   438.4   477.3   535.3   636.9  1573.6  4652.1 14704.6  93875.2    93552
read      368.0   404.3   137.8   194.6   208.4   309.2   371.2   415.9   454.9   506.1   571.4   652.9  1161.7  4035.0 13162.4  65613.4    65694
read      451.2   698.9   148.8   197.9   212.2   336.4   448.3   507.6   549.6   595.9   672.7   848.7  2278.9  8136.6 30155.1  29634.4    29574
read      409.2   437.4   148.8   195.3   209.6   318.9   400.4   465.7   519.0   578.5   645.4   856.9  1502.2  5739.2 13375.1  51333.2    51355
read      377.9   379.8   148.8   196.7   210.8   315.1   378.6   422.8   460.9   512.9   579.0   668.9  1357.9  4900.4 10307.6  67334.4    67361
read      484.0  1025.6   148.8   208.1   223.9   374.3   453.6   494.7   526.3   567.0   626.4   738.5  2850.7 13389.7 36875.2  16306.8    16287
read      375.1   376.3   148.8   195.3   209.5   312.0   371.2   410.4   443.7   488.9   554.0   665.9  1527.7  4062.8 10799.8  81334.4    81508
read      376.9   390.8   137.8   196.6   211.0   314.7   373.2   410.6   441.5   482.7   543.5   653.8  1599.7  4328.3 13084.6  87466.2    87619
