Random waveform, supplied seed
Total number of intervals = 167 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813)
Average QPS expected = 49518
Timestamp start: 1715005721918
Timestamp end: 1715006557515

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      400.4   257.9   148.8   204.3   218.6   338.0   426.7   491.6   542.8   594.7   646.2   722.2  1197.6  2313.5  8411.5  42981.6    42889
read      444.7   417.6   160.7   219.5   237.5   377.5   451.4   499.2   537.2   585.4   656.0   798.1  1726.6  4570.3 12698.8  93361.0    93552
read      411.0   350.4   148.8   208.7   223.5   344.8   422.1   472.7   516.8   570.7   635.4   741.7  1527.6  3080.8  8681.4  65671.6    65694
read      485.1   731.8   160.7   205.4   220.5   363.4   486.9   556.0   599.7   650.4   734.6   940.2  2409.8  7416.6 31917.4  29572.0    29574
read      403.3   277.5   148.8   206.1   220.7   340.2   422.0   481.5   532.2   587.6   645.4   730.2  1317.1  2577.7  6511.3  51223.0    51355
read      415.5   372.2   160.7   209.1   224.4   345.3   420.3   470.8   514.9   571.9   638.7   746.2  1627.8  3819.4 11341.3  67394.8    67361
read      517.2   908.1   160.7   211.1   227.8   404.5   496.9   548.2   583.0   627.6   692.0   848.2  3430.0 10503.2 32300.2  16091.6    16287
read      380.7   212.6   148.8   210.4   225.6   340.7   409.7   453.6   487.3   529.5   583.9   664.1   888.7  1846.9  5392.1  81589.2    81508
read      436.2   470.2   148.8   215.3   232.1   366.6   441.5   489.4   527.4   576.5   645.1   792.9  1553.3  5779.3 17938.9  87911.0    87619
read      429.6   543.6   148.8   215.9   233.4   365.3   434.6   479.2   514.7   559.3   622.0   735.4  1383.9  6458.0 30386.4  98961.6    99068
read      414.8   461.7   148.8   204.7   218.8   337.8   420.1   479.0   530.5   587.7   648.2   738.2  1520.9  5468.9 24681.3  51568.6    51267
read      512.1  1196.8   160.7   215.7   232.3   395.9   467.7   507.1   536.9   573.0   624.6   743.7  3176.1 27416.4 32475.7  11690.6    11822
read      446.6   548.9   160.7   217.9   236.0   372.2   442.3   488.2   526.3   577.6   653.0   794.0  1684.4  6846.8 28606.3  97468.4    97494
read      423.7   453.7   160.7   213.5   230.7   358.6   424.6   466.4   501.5   547.4   615.3   743.0  1672.0  5514.7 18155.1  97360.8    97350
read      410.8   416.8   148.8   205.5   220.2   341.8   421.6   477.6   525.4   579.2   639.0   728.0  1418.3  4544.5 14825.0  55290.2    55460
read      420.2   431.7   148.8   211.0   227.0   353.6   426.0   470.4   505.7   549.7   613.5   734.3  1708.1  4864.0 11894.4  86045.8    85984
read      424.8   521.1   148.8   209.5   225.2   348.1   420.4   466.0   503.1   551.2   619.2   750.8  1760.5  5339.5 27483.6  81940.0    82043
read      413.0   512.8   148.8   205.1   219.4   338.3   418.0   473.2   524.0   581.5   640.1   723.8  1340.8  6525.7 29101.7  52725.4    52873
