#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      402.1   476.6   173.5   244.2   269.3   375.5   409.8   428.4   441.5   458.7   478.9   509.8   953.0  7368.9 19767.2   4959.8     5000  1714549906196  1714549911713
read      419.0   360.8   160.7   229.7   247.3   407.0   469.1   497.6   516.6   538.3   564.3   597.8   690.9  4151.4 15878.3   9951.0    10000  1714549913219  1714549918572
read      430.2   284.4   160.7   221.4   239.5   414.0   500.3   543.3   570.0   597.0   629.2   675.3   765.7  2185.1 12189.7  15036.0    15000  1714549920076  1714549925425
read      424.9   248.5   148.8   212.3   230.3   397.4   488.1   539.7   574.0   609.2   647.6   702.1   806.9  1401.1 12431.4  20025.4    20000  1714549926930  1714549932265
read      444.1   226.9   148.8   215.9   234.5   406.0   507.7   569.9   610.5   654.1   703.1   769.6   909.7  1578.7  7907.8  25046.6    25000  1714549933769  1714549939098
read      449.5   217.3   160.7   218.9   236.5   410.6   512.8   576.8   621.1   670.8   725.8   793.8   927.4  1288.7  6754.7  30048.1    30000  1714549940602  1714549945931
read      448.1   235.3   148.8   215.8   232.6   396.4   503.2   572.7   623.3   680.3   743.3   831.5  1036.4  1385.0  7674.2  35084.6    35000  1714549947435  1714549952732
read      453.1   267.9   148.8   211.3   227.9   391.3   506.7   577.8   633.2   698.8   769.9   863.2  1126.7  2261.3  8357.1  39991.6    40000  1714549954236  1714549959532
read      458.3   297.2   160.7   214.3   230.9   379.9   503.7   585.0   645.1   716.5   794.0   908.7  1186.6  1640.5 10104.3  45132.6    45000  1714549961037  1714549966326
read      468.4   305.4   148.8   211.1   228.6   367.1   490.2   577.9   646.8   736.9   849.8  1025.9  1445.5  1933.9  8702.9  49877.5    50000  1714549967830  1714549973116
read      464.7   318.3   148.8   212.1   229.8   362.1   474.4   562.5   633.7   726.5   837.1  1029.6  1476.6  2339.9  8090.9  54960.0    55000  1714549974620  1714549979921
read      446.4   305.5   148.8   209.4   226.1   349.1   452.3   528.3   597.5   686.5   801.9   987.9  1431.4  2286.9  8141.6  59970.4    60000  1714549981424  1714549986715
read      470.0   332.0   148.8   214.8   232.8   360.1   458.1   534.9   610.2   723.0   874.5  1135.1  1616.2  2109.3  9104.4  65106.6    65000  1714549988220  1714549993512
read      478.8   356.1   148.8   218.7   236.6   360.6   455.4   530.7   607.4   734.7   913.6  1187.5  1686.0  2299.1  9742.3  70137.4    70000  1714549995016  1714550000313
read      769.0   672.3   148.8   257.2   290.4   467.1   741.5  1078.0  1332.2  1537.1  1698.5  1896.4  2682.5  4238.1 17590.4  73787.9    75000  1714550001817  1714550007108
read      874.2  1146.7   160.7   286.0   327.1   464.1   693.5  1421.2  1552.0  1654.6  1764.2  1935.1  3158.3 12313.4 35611.5  75638.0    80000  1714550008612  1714550013905
read      910.0  1341.2   148.8   281.9   330.4   485.5   736.5  1452.9  1572.6  1673.3  1783.5  2350.6  2955.5 16724.6 38382.2  73648.5    85000  1714550015410  1714550020697
read      876.1  1218.4   160.7   293.0   332.8   464.0   747.4  1450.3  1562.1  1657.3  1761.7  922.7  2870.8 12821.1 32137.6  75944.2    90000  1714550022200  1714550027491
read      898.2  1136.4   160.7   291.0   342.9   478.2   812.0  1503.2  1590.5  1679.7  1781.0  944.2  2862.1 13665.8 34370.7  74064.6    95000  1714550028996  1714550034302
read      875.2  1338.9   160.7   294.5   334.0   452.8   640.5  1401.5  1538.1  1636.7  1741.9  902.0  2926.5 19339.0 32518.9  76809.5   100000  1714550035807  1714550041096
read      877.5  1136.1   160.7   290.1   333.2   466.7   751.7  1447.4  1562.6  1658.0  1759.8  922.0  2880.5 12894.5 32268.1  75897.6   105000  1714550042600  1714550047892
read      887.2  1302.4   160.7   292.1   331.1   465.4   676.4  1432.1  1556.3  1654.7  1759.8  925.0  2924.8 17921.4 36973.6  75462.1   110000  1714550049396  1714550054682
read      882.5  1134.6   160.7   289.3   323.4   469.2   784.2  1461.8  1565.4  1661.9  1776.2  952.0  2865.0 12896.6 31921.8  75507.2   115000  1714550056186  1714550061487
read      891.5  1343.5   148.8   286.4   328.9   463.5   673.0  1423.4  1552.3  1653.4  1768.9  940.5  2949.0 16651.9 36635.8  75384.4   120000  1714550062990  1714550068300
read      897.1  1315.6   160.7   290.8   337.9   467.7   690.8  1440.1  1563.4  1662.2  1770.7  938.3  2935.6 17991.1 35911.3  74764.6   125000  1714550069804  1714550075101
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.37%,57.00%,100.00%
