#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      391.1   326.7   173.5   251.4   277.7   374.6   399.6   414.7   425.6   436.5   458.6   494.0   637.2  4632.0 12437.6   4999.8     5000  1714051858276  1714051863720
read      403.1   316.2   160.7   232.2   250.3   399.8   441.2   461.3   474.5   491.5   508.5   540.3   620.5  4868.9 12443.7   9947.8    10000  1714051865224  1714051870629
read      406.2   305.2   160.7   222.0   238.4   403.6   467.3   494.3   511.3   531.0   550.9   585.1   661.8  3785.4 13443.0  14938.6    15000  1714051872134  1714051877517
read      401.9   221.8   148.8   213.0   228.8   385.1   477.7   515.1   538.1   562.3   588.0   626.1   701.1  1720.8  8624.1  20041.8    20000  1714051879022  1714051884349
read      395.7   265.6   160.7   208.2   223.4   353.9   472.4   516.7   542.2   568.5   595.4   634.3   711.6  1707.3  8741.7  24895.0    25000  1714051885854  1714051891208
read      390.4   221.1   148.8   204.7   219.6   337.8   460.3   516.4   547.7   579.5   613.0   652.8   731.1  1666.5  9590.0  29966.8    30000  1714051892713  1714051898046
read      383.9   219.4   148.8   203.7   217.9   330.3   440.7   504.4   541.8   577.7   614.7   659.0   732.7  1569.7  8884.6  34927.4    35000  1714051899551  1714051904867
read      381.8   229.6   148.8   203.7   217.5   325.5   423.3   495.6   539.5   581.6   623.0   671.4   744.5  1628.4  9514.6  39722.8    40000  1714051906372  1714051911681
read      377.8   199.7   148.8   205.1   219.5   325.8   409.5   478.8   527.3   575.5   621.7   673.5   745.3  1098.5  7689.5  44950.6    45000  1714051913186  1714051918500
read      378.1   287.6   148.8   204.4   218.9   325.3   401.7   465.8   513.7   562.4   611.6   666.4   747.3  1955.2 12369.7  49973.8    50000  1714051920005  1714051925319
read      371.3   222.1   148.8   204.3   218.8   323.2   397.4   454.8   501.2   553.3   606.6   665.8   745.8  1089.1  9590.5  54977.9    55000  1714051926824  1714051932131
read      369.9   183.3   148.8   206.0   220.2   325.0   398.4   450.7   493.2   544.0   600.4   663.4   749.3  1006.9  5651.8  59940.8    60000  1714051933635  1714051938942
read      363.0   183.0   148.8   205.5   219.8   321.1   388.2   434.8   473.4   522.9   580.6   646.1   739.8  1157.3  5973.2  65054.4    65000  1714051940446  1714051945751
read      361.5   169.8   148.8   206.0   220.4   323.9   391.1   433.9   468.9   514.0   569.6   636.7   739.9   991.6  4912.2  69991.8    70000  1714051947255  1714051952567
read      357.6   164.3   148.8   206.4   220.7   320.3   384.1   425.0   458.2   501.1   558.4   631.7   739.0  1027.1  5761.9  74950.8    75000  1714051954073  1714051959378
read      355.2   162.2   148.8   206.1   220.6   318.3   382.0   423.7   456.9   498.0   549.5   621.1   737.5   977.2  5790.9  80054.2    80000  1714051960882  1714051966185
read      352.5   166.0   148.8   207.1   222.2   320.4   379.6   416.0   444.6   481.3   531.5   604.4   720.6   958.8  5847.2  85052.0    85000  1714051967689  1714051973001
read      350.2   168.1   148.8   206.8   221.7   321.4   378.8   413.3   439.2   472.4   518.9   587.9   710.9   998.8  6482.4  89670.8    90000  1714051974506  1714051979811
read      354.3   141.6   148.8   209.2   224.3   328.4   387.3   421.2   446.8   477.9   520.4   585.7   707.4   973.7  4277.5  94942.8    95000  1714051981316  1714051986616
read      348.4   154.9   148.8   207.7   222.8   323.3   379.5   411.9   435.8   466.1   506.0   568.9   686.5   969.5  5833.6 100063.0   100000  1714051988121  1714051993426
read      353.2   150.7   148.8   209.4   225.2   330.6   384.9   416.6   440.2   469.4   508.8   572.3   698.1   957.3  5249.7 105059.8   105000  1714051994930  1714052000231
read      363.4   170.2   148.8   214.2   230.9   342.2   396.1   427.6   451.6   480.2   519.0   581.0   717.1   953.3  6990.7 109909.0   110000  1714052001735  1714052007042
read      383.7   197.2   148.8   214.9   233.3   353.5   413.3   451.1   480.2   517.6   570.0   655.6   834.4  1099.7  7916.9 114949.8   115000  1714052008546  1714052013863
read      402.6   192.3   148.8   221.0   242.3   372.5   435.1   473.9   504.7   543.0   593.3   677.4   863.7  1381.9  6305.6 119949.3   120000  1714052015368  1714052020666
read      441.6   230.7   148.8   226.7   251.8   396.3   480.0   538.9   583.2   633.1   692.1   782.1   948.4  1226.5  8450.4 122175.8   125000  1714052022170  1714052027490
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.54%,64.65%,100.00%
