#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      381.3   411.6   160.7   235.4   259.9   357.8   390.3   408.0   422.8   437.8   459.6   493.3   691.7  8143.3 14510.6   4993.6     5000  1714551071513  1714551076955
read      421.0   278.6   148.8   219.4   237.8   416.3   477.3   505.9   525.8   546.3   574.1   613.2   730.3  3119.5 10575.3  10070.6    10000  1714551078459  1714551083828
read      415.1   280.2   148.8   213.2   231.7   402.3   478.0   517.1   543.1   571.6   603.7   647.0   741.6  1588.1 12418.3  15040.0    15000  1714551085332  1714551090673
read      418.9   255.4   148.8   206.3   224.2   392.4   482.1   531.7   565.4   599.8   638.5   691.5   803.7  1625.7 11071.4  20018.0    20000  1714551092177  1714551097490
read      439.1   243.7   148.8   208.4   226.5   405.4   503.3   558.7   599.0   642.9   693.4   764.6   912.7  2634.2  8338.9  24932.8    25000  1714551098993  1714551104306
read      434.4   237.1   148.8   201.4   218.1   398.2   499.7   557.5   600.6   650.3   708.7   785.1   945.6  1495.9  6909.5  29856.4    30000  1714551105809  1714551111112
read      436.8   259.3   148.8   202.9   218.6   382.4   497.1   568.0   620.2   675.8   737.8   822.5  1003.2  1361.7  8839.3  35163.0    35000  1714551112616  1714551117934
read      440.6   265.0   148.8   200.7   216.7   380.4   498.4   568.9   623.9   685.9   754.6   847.9  1089.3  1610.0  7530.8  40039.0    40000  1714551119437  1714551124736
read      433.4   267.9   148.8   198.7   214.6   352.1   478.5   555.7   618.0   688.8   770.9   885.5  1147.3  1476.3  7502.0  44983.2    45000  1714551126240  1714551131544
read      434.9   288.2   148.8   201.2   216.1   339.0   461.1   543.6   614.2   696.7   793.7   935.2  1270.3  1703.4  6885.2  49951.4    50000  1714551133048  1714551138336
read      474.2   357.5   148.8   208.3   226.0   350.1   463.2   554.6   634.7   747.6   903.9  1170.7  1645.3  2305.0 10517.4  54842.4    55000  1714551139840  1714551145140
read      456.7   342.3   148.8   205.9   222.5   334.1   423.3   503.9   588.8   719.9   890.4  1184.7  1663.8  2158.7  6976.3  60039.5    60000  1714551146644  1714551151943
read      447.7   344.3   137.8   205.0   221.5   328.0   410.7   485.3   564.4   691.0   868.1  1171.1  1678.4  2196.1  6173.2  65203.4    65000  1714551153447  1714551158732
read      424.6   321.4   137.8   199.8   215.3   318.0   400.3   468.2   537.6   651.2   796.1  1042.2  1525.4  2217.9  7873.7  70164.8    70000  1714551160236  1714551165533
read      428.5   333.7   148.8   199.6   215.2   311.8   379.6   439.0   504.6   637.8   845.0  1166.3  1679.5  2249.1  4056.9  74880.0    75000  1714551167036  1714551172330
read      617.1  1153.4   148.8   221.2   242.3   349.8   397.2   430.3   462.6   536.6  1137.6  2290.7  4955.5  8682.8 33003.0  80158.6    80000  1714551173833  1714551179129
read      723.7  2032.4   148.8   206.9   225.5   352.4   409.6   444.1   474.1   534.6   752.8  2381.3  8197.3 31710.5 39350.3  83681.2    85000  1714551180633  1714551185927
read     1029.6  3235.4   148.8   248.6   289.6   431.0   467.8   491.5   507.5   533.3   571.8   742.8 16328.0 35874.7 46134.9  76016.4    90000  1714551187432  1714551192729
read      981.0  3169.7   148.8   249.6   303.0   405.6   436.2   456.9   470.0   492.8   525.8   660.5 15108.7 35658.8 40932.6  80008.8    95000  1714551194232  1714551199529
read      960.1  3074.4   148.8   250.4   304.5   401.2   432.3   452.6   466.8   489.2   523.7   696.7 12982.5 35962.2 43183.5  80801.6   100000  1714551201032  1714551206327
read      929.2  3030.5   148.8   272.3   318.0   385.6   410.0   426.5   436.8   457.2   486.1   610.1 12881.7 35257.1 42036.9  83692.8   105000  1714551207831  1714551213132
read      912.8  3045.3   148.8   278.1   306.8   372.9   398.5   415.4   428.7   447.2   476.7   597.2 12883.5 36188.1 43928.7  85814.0   110000  1714551214636  1714551219933
read      967.5  3137.9   148.8   247.0   298.8   401.3   433.1   453.9   468.1   491.1   524.9   640.0 13841.1 35462.8 45291.2  80699.9   115000  1714551221437  1714551226733
read      943.5  3105.9   148.8   246.8   304.8   390.4   418.6   434.3   449.6   466.9   498.2   615.7 12904.1 35322.5 42201.6  82983.9   120000  1714551228237  1714551233532
read      952.2  3092.4   148.8   253.2   307.1   394.7   424.4   441.6   457.7   475.7   508.9   677.9 12911.5 35629.7 42988.2  81692.9   125000  1714551235036  1714551240343
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.25%,48.99%,100.00%
