#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      379.2   352.5   173.5   244.9   271.2   362.2   389.4   402.5   414.0   426.7   442.4   471.5   625.6  4916.4 16947.2   4959.8     5000  1714052114123  1714052119565
read      399.2   335.6   173.5   230.1   247.6   396.7   439.0   458.9   471.3   488.8   506.7   538.8   625.6  4118.7 12945.7   9942.2    10000  1714052121072  1714052126460
read      404.2   234.4   160.7   221.2   237.3   405.1   469.5   497.7   515.9   535.5   558.1   590.3   673.9  1733.5  9376.3  15000.2    15000  1714052127965  1714052133293
read      400.3   252.0   148.8   215.1   230.5   382.4   473.4   508.5   530.1   552.1   579.1   616.6   691.7  1717.1  9953.2  19947.2    20000  1714052134798  1714052140142
read      395.7   226.5   148.8   208.6   224.0   355.9   469.2   513.6   539.8   566.8   594.4   633.3   708.6  1769.9  9529.2  25061.1    25000  1714052141647  1714052146980
read      389.4   209.5   148.8   205.4   220.0   338.7   458.7   514.2   545.5   576.3   609.2   648.7   730.7  1645.5  8319.7  29899.0    30000  1714052148485  1714052153800
read      377.3   212.5   148.8   203.3   217.1   329.9   431.1   485.6   519.0   552.4   588.9   636.8   730.4  1757.0  9385.3  34923.0    35000  1714052155304  1714052160628
read      386.9   197.4   148.8   205.8   220.7   333.2   432.7   504.0   546.2   587.9   628.4   678.2   755.1  1462.9  7935.6  40078.2    40000  1714052162135  1714052167456
read      382.1   212.8   148.8   205.5   219.9   328.6   416.0   485.5   532.8   579.1   625.0   677.3   759.9  1638.8  7809.4  44940.2    45000  1714052168962  1714052174266
read      378.5   197.1   148.8   205.4   219.9   328.7   407.3   471.0   519.2   571.2   622.2   679.1   771.3  1138.3  8789.7  50014.4    50000  1714052175772  1714052181092
read      369.4   206.4   148.8   204.1   218.3   322.9   395.3   451.3   497.7   549.1   602.9   662.3   745.8  1054.3  7308.8  54889.8    55000  1714052182597  1714052187907
read      369.2   197.9   148.8   206.0   220.6   324.7   393.7   444.6   488.5   541.1   597.4   662.0   756.3  1052.2  8016.7  60031.6    60000  1714052189411  1714052194710
read      363.5   177.8   148.8   204.6   218.8   321.6   388.4   435.7   476.3   526.3   583.7   651.2   747.5  1136.0  5772.1  64949.8    65000  1714052196216  1714052201522
read      357.5   178.8   148.8   204.1   218.2   319.4   384.0   427.5   463.2   508.2   564.3   633.1   735.8   940.9  5716.7  69997.8    70000  1714052203027  1714052208339
read      356.3   172.1   148.8   205.2   219.5   320.0   382.9   423.9   456.8   499.4   555.1   628.1   735.8   961.6  6536.4  75125.2    75000  1714052209844  1714052215166
read      367.0   195.2   148.8   208.8   223.9   328.4   391.9   431.6   463.7   503.5   557.1   635.7   825.6  1722.2  7656.3  80008.4    80000  1714052216670  1714052221982
read      355.4   189.6   148.8   205.8   220.4   319.3   380.8   420.4   451.9   491.4   542.2   615.8   743.9  1100.1  7986.3  85124.8    85000  1714052223486  1714052228788
read      348.3   179.2   148.8   205.6   219.8   316.9   375.4   411.0   438.5   473.4   521.4   591.6   711.5   992.6  7400.5  89890.3    90000  1714052230294  1714052235608
read      347.3   166.0   148.8   206.1   220.7   320.7   377.9   411.4   436.3   467.9   509.4   574.8   687.7   932.2  7061.0  95106.9    95000  1714052237114  1714052242422
read      346.8   165.8   148.8   206.8   221.6   320.6   375.7   408.0   432.9   464.1   505.5   571.7   690.2   983.5  5988.2  99905.6   100000  1714052243927  1714052249223
read      349.0   153.3   148.8   208.1   223.6   328.1   382.1   412.8   435.6   464.7   502.1   559.2   673.8   880.8  4963.8 104959.3   105000  1714052250727  1714052256020
read      364.3   212.1   148.8   209.9   226.1   334.8   391.2   425.8   453.1   487.3   534.3   609.7   791.3  1106.2 10823.9 110080.0   110000  1714052257524  1714052262825
read      368.3   175.3   148.8   213.7   231.4   346.7   400.9   433.2   458.3   488.7   529.3   592.0   732.7   951.2  7859.7 114833.6   115000  1714052264331  1714052269633
read      402.3   167.7   148.8   223.5   246.1   376.7   437.7   475.8   506.0   543.3   592.1   669.8   809.8  1018.3  4627.2 120157.1   120000  1714052271138  1714052276441
read      468.1   214.0   148.8   242.6   273.1   430.9   520.0   574.5   613.2   657.5   712.3   789.5   930.5  1215.2  6929.6 121311.9   125000  1714052277946  1714052283262
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.55%,71.50%,100.00%
