#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      380.6   497.9   173.5   234.7   259.1   353.4   383.2   398.2   409.2   424.0   440.7   471.2   732.5  7996.6 21372.2   4931.0     5000  1714052639990  1714052645452
read      396.7   324.3   148.8   217.2   233.5   391.1   441.8   466.9   485.1   504.4   530.7   569.1   656.1  3461.4 12585.4  10072.4    10000  1714052646958  1714052652350
read      407.4   363.2   148.8   208.9   225.6   392.8   468.6   504.3   527.9   552.1   583.2   627.7   732.7  2864.6 19920.5  15031.1    15000  1714052653853  1714052659181
read      412.6   294.7   148.8   205.1   222.7   385.2   474.7   519.5   548.7   582.1   620.3   673.6   796.1  2140.9 12913.9  20012.2    20000  1714052660686  1714052666032
read      422.6   295.4   148.8   205.1   223.1   391.5   479.4   528.5   563.8   603.9   651.3   720.0   848.1  1716.2 12473.0  25107.7    25000  1714052667537  1714052672867
read      435.3   250.4   148.8   207.7   226.6   404.5   490.8   541.9   580.4   626.9   683.6   760.4   898.7  1695.2  9698.2  29843.4    30000  1714052674371  1714052679707
read      432.9   226.9   148.8   207.1   225.9   404.6   485.7   535.9   575.1   622.6   683.6   767.1   918.0  1575.1  9370.6  35049.0    35000  1714052681213  1714052686528
read      436.6   229.8   137.8   203.6   221.8   407.7   495.2   546.3   585.6   632.5   692.1   780.7   930.5  1553.4  8212.3  39979.0    40000  1714052688033  1714052693345
read      442.9   248.5   148.8   206.6   224.9   416.3   504.8   554.4   592.6   639.0   699.2   786.6   933.2  1392.6  9770.7  44889.6    45000  1714052694849  1714052700160
read      432.6   220.9   148.8   204.4   222.6   400.0   492.1   544.9   585.1   631.9   690.1   776.6   928.7  1404.0  6713.4  50191.6    50000  1714052701666  1714052706986
read      440.2   231.9   148.8   206.8   225.8   405.7   501.0   554.6   595.8   643.7   705.1   795.2   951.2  1313.6  6223.8  54975.1    55000  1714052708489  1714052713794
read      448.5   264.2   137.8   208.0   228.3   410.6   503.6   558.6   599.9   649.8   716.3   808.6   976.9  1741.8 10256.9  59903.7    60000  1714052715300  1714052720610
read      441.0   254.8   148.8   207.7   227.7   402.1   493.5   547.2   589.4   637.8   701.5   798.0   981.7  1454.8  9825.8  65000.7    65000  1714052722114  1714052727423
read      436.3   217.2   148.8   208.7   229.4   401.2   490.5   542.4   581.9   629.2   689.2   780.5   944.8  1278.4  7346.0  70181.4    70000  1714052728928  1714052734224
read      427.5   219.8   137.8   208.6   229.7   392.2   479.7   532.4   571.2   616.5   672.1   750.5   916.1  1220.6  7837.2  75012.0    75000  1714052735729  1714052741052
read      474.4   270.4   148.8   224.7   254.1   436.2   526.8   581.3   623.3   673.7   737.5   838.9  1043.1  1395.4 10416.0  80025.0    80000  1714052742556  1714052747854
read      629.4   347.8   148.8   264.9   318.0   569.9   650.1   725.1   827.7   972.5  1081.6  1184.7  1349.6  2011.3 10992.0  83741.6    85000  1714052749358  1714052754665
read      791.4   401.3   148.8   502.6   531.2   647.2   772.3  1073.4  1131.1  1177.1  1227.7  1279.9  1394.4  3902.5 15059.6  82105.8    90000  1714052756169  1714052761478
read      794.8   420.1   160.7   512.5   538.5   652.0   744.2  1072.4  1135.8  1186.5  1239.9  1304.2  1426.1  4011.7 16106.1  82629.3    95000  1714052762982  1714052768288
read      805.4   419.5   160.7   518.1   548.4   660.1   755.0  1096.9  1150.2  1201.2  1251.1  1319.0  1444.2  3965.8 16653.9  81387.4   100000  1714052769792  1714052775106
read      790.0   442.8   173.5   512.0   535.9   645.5   738.0  1064.5  1128.7  1178.4  1232.9  1294.7  1422.3  3913.1 18325.7  83128.8   105000  1714052776610  1714052781918
read      778.6   427.8   137.8   497.3   526.1   638.6   729.4  1047.6  1115.5  1164.6  1218.6  1277.3  1385.6  4035.6 16943.3  84281.5   110000  1714052783422  1714052788750
read      775.2   375.2   148.8   502.9   527.9   635.7   724.8  1051.2  1115.4  1161.9  1213.7  1272.7  1381.0  2155.9 13734.8  84562.7   115000  1714052790255  1714052795572
read      773.5   393.7   187.4   490.3   518.3   634.2   743.2  1040.9  1103.2  1150.6  1201.8  1268.0  1380.8  2724.9 15214.9  84785.0   120000  1714052797078  1714052802391
read      794.3   408.7   160.7   512.3   538.0   648.3   745.7  1080.8  1136.8  1183.8  1233.9  1285.4  1400.0  3865.3 15682.4  82681.0   125000  1714052803895  1714052809212
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.36%,63.96%,100.00%
