#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      386.0   634.2   160.7   235.2   258.8   349.4   379.9   397.3   409.7   425.1   443.9   478.4   944.8  7545.8 27115.5   4977.8     5000  1714550567917  1714550573318
read      401.2   344.8   160.7   219.8   236.8   392.2   447.8   473.0   491.3   509.7   535.5   572.8   673.2  3883.7 18018.8  10092.2    10000  1714550574823  1714550580172
read      414.7   277.2   148.8   209.5   226.7   402.2   480.8   518.2   541.7   569.0   600.5   646.1   760.6  2860.9 11697.2  14956.6    15000  1714550581675  1714550586981
read      416.1   284.5   148.8   207.2   225.8   387.3   479.2   524.9   555.1   587.9   626.9   682.7   805.0  2173.8 12547.3  20163.6    20000  1714550588486  1714550593792
read      416.2   275.9   148.8   204.2   222.1   381.6   472.2   524.7   560.4   600.2   645.5   711.7   827.0  2884.2  9817.7  24877.0    25000  1714550595296  1714550600594
read      436.5   259.4   148.8   207.3   226.5   404.5   494.2   548.2   587.2   631.9   687.3   763.3   918.9  1423.9 11632.4  29901.2    30000  1714550602098  1714550607393
read      432.4   248.9   148.8   206.6   225.8   397.9   487.3   541.0   581.4   628.2   686.5   764.7   915.5  1780.7 10669.3  34835.2    35000  1714550608897  1714550614200
read      445.0   255.7   148.8   208.7   228.3   411.3   503.1   555.7   595.7   645.2   709.4   798.8   970.6  1541.5  9817.4  40029.6    40000  1714550615705  1714550621030
read      449.7   247.1   148.8   210.1   230.2   420.0   512.3   565.0   602.4   649.4   714.2   799.4   949.2  1441.3  9954.9  45139.8    45000  1714550622534  1714550627845
read      438.3   218.0   148.8   208.0   227.6   404.7   496.3   547.7   587.0   635.1   697.3   788.0   951.7  1296.8  6469.9  49830.3    50000  1714550629348  1714550634640
read      434.6   226.6   148.8   209.0   228.8   393.8   490.7   546.6   586.9   634.5   695.6   785.1   943.2  1283.0  8217.7  54793.6    55000  1714550636144  1714550641428
read      441.7   204.5   148.8   208.7   230.0   403.1   495.6   550.9   593.1   643.2   709.7   802.2   990.0  1331.1  4235.4  59964.0    60000  1714550642931  1714550648227
read      421.9   226.1   148.8   207.1   226.7   380.7   469.5   524.8   565.1   612.4   671.5   757.0   919.0  1254.5  8886.2  64908.8    65000  1714550649731  1714550655025
read      416.4   217.8   137.8   204.7   224.0   377.3   463.1   515.2   555.1   602.4   661.8   746.7   916.7  1255.5  7164.7  69987.0    70000  1714550656529  1714550661820
read      467.0   253.0   148.8   223.6   251.3   429.8   516.8   570.7   611.9   663.3   727.9   819.5  1029.6  1442.2 10324.9  75019.8    75000  1714550663324  1714550668625
read      484.7   710.9   148.8   235.7   267.5   442.5   532.1   589.2   633.1   685.2   749.8   847.4  1034.0  1293.9  8430.6  79733.0    80000  1714550670128  1714550675415
read      768.2   375.5   160.7   475.2   510.4   635.9   779.7  1026.9  1091.6  1143.1  1193.8  1260.4  1373.5  3734.8 12649.4  82253.6    85000  1714550676919  1714550682203
read      854.9   434.8   255.0   569.2   600.9   711.7   776.7  1114.4  1232.4  1300.7  1355.2  1427.2  1535.1  3539.5 16360.2  76755.6    90000  1714550683706  1714550689008
read      836.4   437.2   160.7   543.1   574.5   693.0   770.5  1109.4  1202.1  1260.7  1320.7  1381.6  1491.8  3489.4 17504.5  78414.0    95000  1714550690512  1714550695806
read      829.5   432.2   148.8   530.7   564.0   685.9   774.1  1108.9  1189.8  1245.6  1304.2  1368.9  1483.7  2821.0 18392.5  79144.3   100000  1714550697310  1714550702607
read      824.5   442.7   160.7   537.1   566.9   680.2   747.0  1103.9  1193.7  1245.4  1299.8  1362.1  1476.3  4003.0 18396.5  79839.6   105000  1714550704110  1714550709413
read      841.3   410.5   148.8   544.1   574.2   692.0   782.4  1133.7  1212.5  1266.4  1321.4  1376.9  1485.7  3917.3 13933.3  78091.8   110000  1714550710917  1714550716213
read      830.7   442.6   160.7   546.9   571.2   679.1   751.5  1131.0  1202.7  1248.4  1297.6  1358.5  1469.3  4161.7 17012.0  79203.8   115000  1714550717716  1714550723010
read      853.0   498.3   160.7   561.6   595.0   697.4   772.0  1143.7  1229.0  1289.0  1339.1  1394.0  1495.0  4253.5 19729.9  77260.0   120000  1714550724514  1714550729816
read      807.2   435.0   173.5   528.3   558.7   668.5   736.0  1072.2  1162.3  1220.5  1270.2  1339.6  1453.6  3951.8 16499.9  81411.8   125000  1714550731320  1714550736607
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.17%,36.68%,100.00%
