#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      384.1   461.4   173.5   245.2   270.5   354.8   382.3   397.6   408.6   424.2   442.4   475.6   787.6  8009.3 19725.0   5015.4     5000  1714051304635  1714051310208
read      387.0   354.8   160.7   225.7   243.3   378.7   419.2   438.4   453.3   468.1   489.6   519.2   606.5  4287.6 15665.6  10006.6    10000  1714051311714  1714051317124
read      396.8   272.0   160.7   216.6   232.2   394.8   457.4   484.6   501.6   521.3   543.6   579.0   658.0  2772.3 12757.1  14995.6    15000  1714051318629  1714051323992
read      394.5   299.5   148.8   210.1   225.6   372.4   464.9   501.2   523.0   544.5   571.0   605.0   677.7  3144.9 15082.3  19913.8    20000  1714051325497  1714051330860
read      390.6   229.8   148.8   209.5   224.9   349.2   462.9   509.0   535.7   562.6   589.7   628.5   696.9  1628.0  8046.7  24920.6    25000  1714051332365  1714051337716
read      387.0   223.4   148.8   206.7   221.5   337.4   448.0   504.9   538.1   570.2   603.3   641.7   726.2  1651.9  9246.0  30112.0    30000  1714051339221  1714051344566
read      385.2   199.9   148.8   206.8   221.7   336.0   439.1   499.0   536.2   573.2   611.3   656.5   734.9  1590.8  6433.1  34819.8    35000  1714051346071  1714051351393
read      381.2   214.3   148.8   205.8   220.8   331.4   422.1   485.9   527.8   568.5   609.9   659.1   741.6  1607.3  9493.8  39993.6    40000  1714051352897  1714051358208
read      369.9   238.9   148.8   201.9   215.2   317.3   396.1   462.4   510.0   557.3   603.8   652.3   732.3  1962.1 10669.7  44887.2    45000  1714051359713  1714051365042
read      367.8   197.3   148.8   203.5   217.2   321.0   393.7   452.4   499.8   551.6   603.2   656.8   734.3  1131.3  6726.8  49887.8    50000  1714051366546  1714051371858
read      364.9   216.5   148.8   202.4   216.0   319.2   390.1   444.3   489.9   540.3   594.0   651.9   734.2  1368.8  8835.1  55102.7    55000  1714051373363  1714051378676
read      363.8   179.9   148.8   203.1   216.7   321.4   391.9   441.7   483.1   533.6   589.1   651.0   738.5   978.5  5706.7  59960.4    60000  1714051380181  1714051385492
read      359.8   169.2   148.8   203.9   217.4   319.6   386.5   432.2   470.4   521.5   579.9   643.1   734.5   925.1  4671.8  64878.6    65000  1714051386997  1714051392305
read      359.2   208.9   148.8   204.4   218.2   320.2   386.1   429.2   464.4   509.8   567.4   635.2   732.3  1040.5  8795.0  69906.4    70000  1714051393810  1714051399127
read      351.4   178.3   148.8   204.2   217.5   315.3   375.7   415.7   448.4   490.8   546.9   621.1   721.8  1093.3  6397.4  74929.2    75000  1714051400632  1714051405943
read      349.8   163.6   148.8   204.4   218.0   316.1   377.5   416.9   447.5   486.0   536.9   607.3   712.0   925.0  5203.7  79817.2    80000  1714051407449  1714051412752
read      350.0   190.1   148.8   205.6   219.5   318.5   378.8   415.9   444.0   479.5   528.3   596.6   708.1   932.4  6159.8  85037.4    85000  1714051414257  1714051419570
read      345.8   157.3   148.8   206.1   220.1   315.6   372.7   407.7   435.0   469.8   518.1   588.0   693.6   900.8  4330.0  89720.8    90000  1714051421075  1714051426376
read      350.6   166.5   148.8   207.0   221.6   321.3   379.5   415.3   442.4   476.1   522.0   588.4   714.4   978.6  5686.9  94672.8    95000  1714051427881  1714051433202
read      344.1   156.4   148.8   206.9   221.7   319.7   373.6   404.8   429.8   460.3   500.8   563.1   676.5   913.8  4939.0 100003.2   100000  1714051434706  1714051440022
read      351.2   182.9   148.8   208.9   224.3   328.9   383.2   414.3   437.1   465.9   503.4   562.6   680.7   904.8  9462.9 104869.2   105000  1714051441528  1714051446832
read      373.7   181.4   148.8   213.2   229.8   344.5   401.9   436.9   464.8   499.8   547.4   633.4   848.9  1133.8  7711.3 110194.0   110000  1714051448336  1714051453637
read      420.6   218.5   148.8   224.7   246.9   384.2   451.7   495.0   529.9   575.7   640.3   748.7   937.0  1219.6  8413.6 114942.4   115000  1714051455141  1714051460440
read      386.2   178.8   148.8   219.5   238.4   358.9   415.2   450.6   478.1   515.3   569.5   657.8   816.8  1014.3  6218.4 120086.0   120000  1714051461945  1714051467257
read      449.3   186.3   148.8   246.4   276.0   423.4   498.7   542.0   574.0   611.0   656.7   725.1   848.9  1032.1  5724.6 124805.6   125000  1714051468761  1714051474066
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 80.40%,41.21%,100.00%
