#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      389.2   347.5   160.7   235.8   265.9   369.5   401.9   419.8   431.4   447.1   466.7   504.3   742.6  6586.6 12675.2   5005.8     5000  1714053098116  1714053103567
read      407.7   258.1   148.8   215.4   233.2   408.4   459.3   484.4   500.8   520.5   544.1   583.1   692.5  2794.2  9754.6   9937.4    10000  1714053105074  1714053110465
read      424.8   225.1   148.8   212.7   230.1   423.9   498.1   533.0   555.9   581.8   613.8   660.9   788.3  2120.1  8470.4  14982.6    15000  1714053111971  1714053117324
read      431.4   263.8   137.8   208.6   226.9   407.9   502.1   547.4   577.8   611.5   651.6   714.0   859.3  2121.8 10460.7  19974.2    20000  1714053118829  1714053124164
read      432.7   268.5   148.8   206.7   225.4   402.9   492.7   542.6   579.3   621.1   671.8   743.5   891.4  1699.2 11026.9  25016.4    25000  1714053125669  1714053131007
read      450.0   256.9   148.8   209.0   228.8   421.3   507.1   560.1   599.0   645.1   705.1   788.0   945.5  1735.8  9882.5  29853.4    30000  1714053132511  1714053137841
read      449.1   253.0   148.8   207.8   227.2   417.6   506.5   559.4   599.2   648.5   713.6   801.1   972.5  1928.1  9040.8  35013.2    35000  1714053139345  1714053144663
read      447.0   270.9   137.8   206.9   225.4   418.4   504.9   554.7   593.9   642.2   705.9   794.0   964.4  1653.9 10395.9  39908.8    40000  1714053146168  1714053151472
read      439.7   248.8   148.8   205.6   224.5   411.9   497.2   546.3   584.5   631.6   693.3   784.8   941.1  1356.3  9386.7  45037.7    45000  1714053152976  1714053158290
read      438.0   239.5   148.8   206.3   224.8   406.3   496.4   546.9   586.4   634.3   694.8   785.7   944.7  1365.2  9027.4  49953.4    50000  1714053159794  1714053165116
read      430.5   251.8   148.8   203.7   222.1   397.1   486.0   536.4   574.6   621.3   681.5   773.9   937.4  1415.6 10197.2  55027.5    55000  1714053166620  1714053171928
read      445.9   245.1   148.8   208.2   228.5   410.1   500.2   550.8   591.1   641.9   711.6   808.1   995.1  1427.4  9670.8  60064.0    60000  1714053173434  1714053178759
read      434.2   230.1   137.8   206.4   226.7   399.0   488.3   540.6   579.3   625.4   685.2   779.4   948.5  1362.9  7265.6  64908.8    65000  1714053180264  1714053185593
read      437.3   231.4   148.8   209.6   230.5   401.9   490.4   542.5   582.1   629.1   689.1   781.0   940.9  1294.1  8796.3  69759.5    70000  1714053187098  1714053192405
read      452.6   238.3   148.8   217.4   241.4   418.2   506.9   559.9   599.5   646.2   706.6   793.2   974.6  1273.2  9014.0  74909.6    75000  1714053193909  1714053199223
read      582.9   331.1   137.8   259.9   305.5   531.0   625.8   692.3   758.0   845.5   955.6  1087.2  1273.1  1711.0 10434.6  80030.6    80000  1714053200727  1714053206050
read      747.7   395.1   160.7   435.4   479.5   635.3   746.5   954.5  1041.9  1113.5  1182.2  1266.7  1383.5  2635.5 15762.0  83182.0    85000  1714053207553  1714053212863
read      780.0   397.8   160.7   479.3   512.9   655.2   756.3  1014.9  1089.8  1161.3  1233.2  1316.9  1451.3  2538.0 15604.4  83048.4    90000  1714053214367  1714053219682
read      786.5   407.0   148.8   511.9   538.4   647.4   730.8  1051.0  1126.2  1179.5  1235.7  1301.8  1428.1  3780.8 15762.5  83278.3    95000  1714053221186  1714053226489
read      802.3   437.5   148.8   510.7   540.2   670.1   744.9  1040.3  1134.9  1206.9  1271.1  1350.2  1474.6  3707.5 20228.4  81761.4   100000  1714053227994  1714053233309
read      769.1   427.9   148.8   476.9   508.6   635.9   748.6  1010.9  1083.1  1143.9  1204.6  1274.4  2410.9  3147.8 16185.2  85246.0   105000  1714053234814  1714053240126
read      797.9   396.0   148.8   512.1   539.0   661.4   747.6  1059.5  1135.3  1195.9  1253.3  1329.4  2462.7  3520.1 14426.8  82294.7   110000  1714053241631  1714053246934
read      726.7   374.2   160.7   472.7   492.9   588.9   689.8   997.3  1045.2  1083.2  1128.7  1180.6  2288.3  3058.4 14562.5  89906.4   115000  1714053248438  1714053253742
read      800.3   381.6   148.8   521.1   552.2   659.4   737.6  1087.6  1152.4  1206.6  1255.5  1323.8  2447.5  3729.6 13519.6  81975.9   120000  1714053255246  1714053260558
read      740.3   386.8   148.8   472.8   494.8   605.5   730.6  1004.0  1052.9  1096.0  1147.2  1211.2  2337.2  2815.9 15363.5  88550.2   125000  1714053262062  1714053267384
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.26%,59.09%,100.00%
