#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      366.6   547.0   160.7   230.5   251.1   333.7   362.7   378.6   391.2   403.8   425.7   460.9   799.7  7841.2 23467.7   4990.6     5000  1714551242580  1714551247964
read      385.4   330.6   148.8   216.6   233.5   375.5   428.4   454.2   470.5   490.8   512.6   547.6   632.5  3093.5 13938.2  10063.4    10000  1714551249470  1714551254822
read      415.8   293.0   148.8   209.4   227.7   398.6   476.8   515.3   542.1   571.8   606.1   655.1   772.2  2760.3 11493.0  15052.4    15000  1714551256326  1714551261636
read      417.9   268.4   148.8   206.5   224.2   393.5   478.1   525.9   560.0   595.7   637.5   691.5   808.0  1952.4 10243.9  20095.6    20000  1714551263141  1714551268456
read      427.4   248.9   148.8   204.2   220.8   396.4   489.6   543.9   585.0   629.0   678.9   745.5   883.3  1527.3  7840.9  24884.8    25000  1714551269960  1714551275266
read      446.2   250.5   148.8   203.6   220.3   410.2   513.8   576.1   622.6   675.3   736.0   814.2   997.2  1512.8  7894.5  30115.8    30000  1714551276769  1714551282063
read      422.3   239.7   148.8   196.1   212.0   371.2   474.8   542.4   595.2   652.7   715.0   795.9   989.9  1359.6  6711.6  35153.6    35000  1714551283566  1714551288861
read      441.4   260.3   148.8   201.5   217.4   367.6   493.1   567.0   626.1   692.6   771.1   880.7  1174.4  1496.5  7654.6  40074.1    40000  1714551290364  1714551295669
read      439.7   295.1   148.8   202.8   218.4   348.4   466.7   544.2   607.2   687.3   785.7   937.8  1328.1  1902.4  7910.9  45028.2    45000  1714551297173  1714551302463
read      453.2   333.7   148.8   202.9   218.4   337.9   462.3   553.5   634.8   736.7   855.9  1051.7  1441.2  2000.2  7932.3  50058.6    50000  1714551303967  1714551309264
read      454.5   338.6   148.8   203.3   219.6   335.3   441.9   530.9   607.2   717.9   868.5  1124.8  1569.6  2092.1  9439.3  54924.2    55000  1714551310768  1714551316065
read      437.4   338.9   148.8   199.5   215.1   320.7   413.3   494.5   573.4   684.2   835.5  1104.9  1555.9  2053.1  9517.4  59937.0    60000  1714551317568  1714551322863
read      451.0   352.4   148.8   205.4   221.8   327.0   409.0   487.3   570.8   704.8   890.3  1187.3  1664.7  2323.8  7628.2  65084.6    65000  1714551324366  1714551329655
read      449.7   379.5   148.8   205.3   221.2   315.7   377.8   435.6   503.1   671.7   963.2  1333.1  1772.8  2429.4  7806.7  70205.8    70000  1714551331158  1714551336449
read      472.7   437.5   148.8   210.5   228.1   333.3   398.4   454.1   517.4   670.0   954.2  1407.3  2016.7  3117.7 11840.0  74956.6    75000  1714551337953  1714551343245
read      795.8  2220.7   148.8   222.0   246.1   376.2   419.5   446.9   469.3   506.2   607.0  2561.0  9330.5 31899.9 39336.9  79385.8    80000  1714551344749  1714551350038
read      985.4  3175.9   148.8   250.3   297.5   405.7   442.7   465.6   484.4   507.1   545.6  2689.6 15930.1 35382.5 43596.0  78764.2    85000  1714551351541  1714551356836
read      929.7  3024.6   148.8   256.2   288.5   381.0   421.7   445.8   464.2   489.2   526.4   647.8 12885.6 34971.0 44046.0  82846.7    90000  1714551358339  1714551363638
read      931.4  3130.3   148.8   262.3   306.2   381.6   408.6   426.6   438.7   459.2   488.9   586.9 15314.5 33901.1 43226.7  84345.0    95000  1714551365142  1714551370436
read     1008.6  3220.5   148.8   245.6   290.7   420.3   456.9   478.4   497.1   520.6   557.4   696.7 16706.6 36109.7 43529.0  77570.2   100000  1714551371940  1714551377233
read      993.8  3202.3   148.8   246.8   297.2   411.9   447.0   468.0   487.1   508.7   547.6   692.7 16422.0 35952.6 44043.5  78637.2   105000  1714551378736  1714551384030
read      914.3  3009.3   148.8   261.3   292.1   373.5   409.8   430.9   447.7   467.5   502.0   667.4 12870.7 35966.9 45303.6  85102.0   110000  1714551385533  1714551390823
read      963.6  3153.3   148.8   245.5   303.3   398.9   428.3   446.2   460.7   478.7   508.4   632.9 12906.3 36220.0 45089.2  81454.2   115000  1714551392327  1714551397622
read      959.9  3128.4   148.8   246.9   309.6   399.4   428.4   446.0   460.5   478.0   507.5   623.7 12912.6 36299.8 43922.1  81184.6   120000  1714551399125  1714551404427
read      944.5  3098.0   148.8   257.2   297.8   382.7   425.1   451.6   470.0   495.9   532.7   641.6 12895.6 36014.4 47753.9  82453.0   125000  1714551405930  1714551411224
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.17%,32.66%,100.00%
