#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      370.0   519.6   173.5   232.4   255.4   342.8   372.5   389.6   400.6   416.0   433.9   468.3   637.0  6454.4 24854.5   5008.4     5000  1714550738981  1714550744384
read      385.3   310.4   160.7   215.7   231.8   378.8   429.9   454.6   470.1   490.1   511.3   546.4   636.7  2621.1 12590.8  10038.3    10000  1714550745887  1714550751235
read      393.4   261.1   148.8   209.8   227.0   377.0   452.5   487.3   509.5   535.7   565.9   607.5   704.0  1740.1 12686.1  14960.6    15000  1714550752739  1714550758049
read      420.7   242.3   148.8   210.4   229.2   396.5   486.5   532.0   562.4   594.6   634.6   691.0   807.9  1653.8  9504.2  19971.8    20000  1714550759552  1714550764880
read      417.7   236.5   148.8   205.7   224.3   388.1   472.3   521.0   556.4   595.3   644.6   715.9   851.5  2030.8  8732.0  24895.8    25000  1714550766384  1714550771701
read      427.8   220.2   148.8   208.7   227.6   394.3   484.8   538.5   577.3   621.1   674.3   744.3   869.7  1411.7  7661.4  29924.2    30000  1714550773204  1714550778501
read      430.8   226.9   148.8   208.6   227.7   396.2   485.1   537.3   576.7   623.6   683.0   765.3   917.1  1186.8  8677.8  35036.5    35000  1714550780005  1714550785293
read      434.3   201.3   148.8   210.1   229.3   401.8   490.9   543.9   584.0   631.6   691.6   777.3   925.7  1227.3  4748.9  40001.4    40000  1714550786796  1714550792097
read      431.0   216.5   148.8   204.9   222.8   398.3   487.4   539.6   578.7   626.5   688.3   780.9   944.3  1278.3  6265.9  44815.1    45000  1714550793601  1714550798889
read      427.4   229.2   148.8   204.7   223.4   391.8   481.9   534.5   574.3   621.9   683.3   774.9   926.8  1264.3  9168.4  49849.0    50000  1714550800393  1714550805682
read      427.6   223.5   148.8   204.3   223.4   389.1   483.0   536.8   576.4   623.4   683.7   776.5   946.5  1292.3  7243.8  55143.2    55000  1714550807186  1714550812482
read      434.2   222.2   137.8   207.8   227.7   395.6   487.8   542.8   584.1   632.5   695.0   790.3   959.7  1271.7  6865.3  59923.6    60000  1714550813986  1714550819276
read      437.7   243.5   148.8   209.4   229.8   396.9   490.9   546.6   588.1   637.7   700.6   789.0   947.9  1267.3 10093.4  65042.2    65000  1714550820780  1714550826075
read      449.6   224.8   148.8   216.8   239.3   411.4   501.0   555.6   599.0   650.1   712.0   800.1   983.6  1284.5  7427.4  69950.6    70000  1714550827578  1714550832874
read      439.4   228.6   148.8   214.6   237.1   400.9   486.2   539.2   581.1   630.8   692.7   781.7   957.3  1372.1  7869.6  74942.4    75000  1714550834378  1714550839664
read      409.5   213.8   148.8   207.9   227.7   371.7   449.8   501.4   541.3   588.0   643.9   726.4   873.4  1141.1  7936.9  80025.8    80000  1714550841168  1714550846456
read      770.3   363.2   148.8   477.7   515.9   640.4   746.1  1023.8  1095.8  1151.9  1209.6  1272.5  1379.5  2554.2 12546.4  81445.2    85000  1714550847961  1714550853264
read      808.2   423.4   160.7   527.7   560.3   667.9   733.6  1085.4  1175.8  1228.6  1276.0  1341.1  1441.0  3090.7 17348.8  80454.0    90000  1714550854767  1714550860063
read      828.2   419.5   160.7   547.2   573.3   684.4   747.3  1106.8  1197.0  1252.3  1309.6  1369.6  1480.8  4031.9 14763.6  79288.9    95000  1714550861566  1714550866860
read      830.7   418.4   160.7   535.6   567.5   687.3   763.5  1106.7  1192.8  1249.4  1308.2  1370.4  1484.3  4018.2 14804.5  79136.6   100000  1714550868363  1714550873657
read      853.0   449.0   160.7   562.2   595.9   704.1   773.3  1133.7  1229.1  1291.8  1345.2  1412.7  1542.4  4040.4 16030.2  77150.5   105000  1714550875161  1714550880454
read      835.2   447.1   160.7   556.7   588.7   694.7   748.6  1056.8  1208.2  1273.1  1329.9  1385.3  1490.9  3289.0 18704.8  78716.6   110000  1714550881958  1714550887249
read      824.0   460.4   148.8   532.3   564.4   678.3   747.1  1110.2  1191.3  1242.0  1294.8  1357.7  1468.6  4052.6 19252.9  79833.6   115000  1714550888752  1714550894042
read      823.5   422.0   160.7   527.2   560.7   682.0   763.1  1102.4  1178.4  1236.5  1293.8  1362.6  1479.5  3789.8 16522.0  79744.8   120000  1714550895546  1714550900839
read      736.5   354.7   160.7   453.5   482.7   602.7   852.7   991.5  1041.6  1085.2  1135.3  1189.4  1315.3  2140.6 12670.7  88759.2   125000  1714550902343  1714550907640
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.38%,33.50%,100.00%
