#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      380.0   576.4   160.7   236.3   258.8   346.6   378.6   396.3   408.8   425.6   446.4   480.9   745.1  9188.0 26860.6   4973.8     5000  1714550277813  1714550283201
read      397.0   374.4   160.7   220.3   238.4   385.0   442.2   468.4   487.8   508.0   534.7   571.5   651.6  4543.7 22209.1   9916.8    10000  1714550284706  1714550290065
read      397.0   285.8   148.8   214.2   231.1   377.6   453.4   488.7   512.1   537.8   568.8   612.2   697.4  3873.8  9970.3  14978.0    15000  1714550291568  1714550296885
read      415.9   255.0   148.8   208.2   226.1   389.3   481.0   528.0   557.8   590.0   628.8   683.0   798.1  1721.3 10527.3  19993.2    20000  1714550298389  1714550303703
read      415.6   235.7   148.8   205.8   223.6   381.4   472.8   525.0   559.8   598.9   646.8   715.3   852.1  1918.3  8050.2  24885.0    25000  1714550305208  1714550310512
read      429.9   273.0   137.8   206.2   224.7   396.4   485.5   538.5   576.9   621.0   675.3   747.0   883.5  1741.8 11070.4  30041.0    30000  1714550312016  1714550317338
read      445.6   258.4   148.8   210.7   229.9   414.1   503.1   556.0   595.0   641.8   703.7   785.2   938.8  2503.1  9792.2  34922.0    35000  1714550318842  1714550324144
read      431.4   222.0   148.8   205.6   223.8   398.6   491.9   544.8   583.4   629.0   686.2   766.8   909.2  1254.3  6984.8  39877.6    40000  1714550325648  1714550330945
read      450.1   256.5   148.8   208.9   228.5   415.1   508.7   563.4   605.0   657.5   725.2   817.7   996.8  1352.7  9272.0  45259.8    45000  1714550332449  1714550337742
read      437.5   231.9   148.8   207.4   226.3   403.1   494.8   547.7   587.9   636.5   700.1   791.5   954.6  1284.6  8036.1  50050.7    50000  1714550339245  1714550344537
read      451.2   237.0   148.8   209.7   230.2   415.9   509.2   565.2   606.8   658.1   723.7   817.5   994.4  1340.9  7986.8  55031.6    55000  1714550346041  1714550351337
read      435.3   228.6   148.8   208.5   228.1   392.2   485.6   544.8   589.0   639.8   705.4   795.2   965.9  1265.8  9536.7  59952.2    60000  1714550352840  1714550358129
read      438.0   242.1   148.8   209.5   230.6   398.0   486.2   541.8   584.2   634.2   699.7   794.6   971.0  1293.5  7870.8  64902.2    65000  1714550359633  1714550364925
read      451.2   233.5   137.8   217.3   239.8   414.3   503.4   557.8   598.5   646.8   711.9   804.2   992.2  1364.2  7546.4  69798.2    70000  1714550366430  1714550371729
read      478.2   263.7   148.8   227.4   257.3   442.6   532.3   584.8   625.4   675.4   739.1   833.8  1043.7  1404.9 10013.1  74842.4    75000  1714550373234  1714550378529
read      438.4   211.5   148.8   218.7   242.9   401.3   483.6   535.8   576.1   624.4   684.3   772.6   932.5  1186.9  6901.7  80133.1    80000  1714550380032  1714550385326
read      797.6   536.6   148.8   503.1   536.7   659.8   747.4  1062.6  1136.8  1195.4  1247.5  1314.1  1423.8  3927.3 16520.3  80541.0    85000  1714550386829  1714550392121
read      802.3   423.7   148.8   519.1   551.0   657.4   742.9  1094.7  1154.6  1206.8  1252.3  1314.0  1420.0  3886.8 17717.0  81107.6    90000  1714550393626  1714550398922
read      801.3   426.1   148.8   527.9   557.3   658.1   727.7  1086.5  1160.7  1214.5  1259.5  1323.8  1427.4  3992.3 16173.4  81766.6    95000  1714550400426  1714550405725
read      801.6   382.6   160.7   522.0   555.4   663.3   734.6  1073.8  1159.2  1216.7  1264.7  1331.7  1436.3  3245.8 13547.0  81672.7   100000  1714550407228  1714550412525
read      846.7   441.0   202.4   562.3   594.8   693.2   757.1  1136.1  1224.5  1283.9  1334.2  1384.6  1489.6  4705.9 15805.3  77743.8   105000  1714550414029  1714550419322
read      838.2   437.2   148.8   552.3   579.0   691.8   762.6  1118.9  1210.6  1266.9  1323.1  1379.4  1490.2  3977.6 17344.0  78451.0   110000  1714550420825  1714550426126
read      772.1   388.2   148.8   501.1   527.5   629.2   713.4  1053.0  1117.4  1161.3  1208.7  1261.7  1365.1  2920.4 15391.0  84852.1   115000  1714550427629  1714550432927
read      831.8   416.0   187.4   539.0   567.7   683.9   776.4  1123.0  1196.9  1246.7  1300.1  1363.8  1482.3  3224.8 15890.3  78935.6   120000  1714550434430  1714550439729
read      800.3   496.7   160.7   519.1   551.1   660.2   738.6  1091.0  1156.1  1209.8  1256.1  1320.3  1423.5  2343.7 13466.5  81746.2   125000  1714550441233  1714550446521
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.72%,38.89%,100.00%
