#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      392.0   373.1   173.5   248.5   270.8   370.7   404.3   423.7   435.9   452.7   470.0   506.2   742.9  4768.1 18295.8   4970.0     5000  1714549013301  1714549018820
read      414.6   317.3   160.7   231.9   250.1   400.7   460.3   488.1   505.9   530.1   562.5   618.7   702.8  3865.8 12727.8   9965.0    10000  1714549020325  1714549025694
read      433.3   476.3   148.8   222.8   240.4   400.8   487.8   530.5   561.6   599.8   630.8   673.5   768.1  5551.0 30320.0  14979.0    15000  1714549027199  1714549032530
read      439.3   258.8   160.7   217.3   236.0   404.0   501.4   572.4   612.7   643.4   677.7   727.0   841.1  1580.2  9942.3  20090.6    20000  1714549034034  1714549039360
read      452.6   236.7   148.8   215.5   234.2   413.2   516.8   599.5   637.9   674.8   716.6   775.5   906.2  2393.0  7667.0  24963.6    25000  1714549040864  1714549046199
read      457.9   348.2   148.8   213.6   231.5   409.2   516.4   595.5   640.5   685.7   737.5   808.0   982.8  2618.5  9548.6  29854.8    30000  1714549047702  1714549053022
read      483.6   304.6   148.8   216.6   234.8   427.0   560.0   637.5   682.5   735.8   802.2   904.0  1128.7  2458.5 10647.4  35038.2    35000  1714549054526  1714549059842
read      462.4   263.0   148.8   213.0   229.4   396.9   523.4   610.7   666.2   725.2   792.0   891.5  1096.5  1484.5  7264.7  39891.6    40000  1714549061346  1714549066644
read      467.2   301.5   148.8   210.2   227.0   377.7   517.3   613.5   674.5   740.6   824.2   948.0  1248.8  1743.1  7985.9  45119.3    45000  1714549068147  1714549073452
read      465.0   350.9   148.8   210.0   226.6   356.8   474.8   563.5   637.3   730.2   853.1  1054.3  1469.9  2280.2 12164.1  49855.9    50000  1714549074956  1714549080255
read      454.4   336.9   148.8   206.9   223.6   343.9   449.2   533.9   611.5   709.5   841.0  1081.2  1524.9  2048.5  8691.2  55217.5    55000  1714549081758  1714549087051
read      468.9   345.9   148.8   210.7   227.8   346.8   449.5   535.1   617.5   732.7   895.2  1153.7  1671.0  2187.4  6718.5  60040.5    60000  1714549088554  1714549093854
read      471.0   347.8   148.8   213.8   231.1   352.0   449.0   529.8   608.8   726.7   898.6  1168.1  1677.7  2226.2  9532.0  64885.6    65000  1714549095358  1714549100651
read      546.7   461.7   148.8   224.5   245.8   382.9   484.7   579.6   686.6   874.6  1141.3  1252.7  2101.8  3149.8 10797.1  70079.8    70000  1714549102155  1714549107449
read      507.2   411.7   160.7   221.2   240.3   355.5   447.6   535.6   634.3   821.6  1061.0  1381.1  1960.2  2628.1  9203.5  74949.1    75000  1714549108953  1714549114239
read      859.5  1048.8   160.7   278.4   325.0   459.4   662.6  1419.4  1551.0  1650.5  1757.6  1745.2  2933.5 12278.2 32165.9  75928.8    80000  1714549115742  1714549121058
read      835.0   927.0   160.7   288.7   323.5   440.4   666.1  1429.4  1546.4  1640.4  1737.4  1884.3  2842.5 10370.7 31134.0  78472.2    85000  1714549122562  1714549127877
read      868.5  1303.3   160.7   287.7   331.8   451.5   614.0  1397.9  1535.8  1633.0  1735.7  1900.5  2916.9 16615.5 36319.7  79118.8    90000  1714549129381  1714549134673
read      908.8  1223.8   160.7   290.0   337.7   483.1   805.8  1503.1  1596.4  1691.2  1796.2  1920.2  2891.7 16661.2 32367.4  79574.2    95000  1714549136177  1714549141471
read      885.4  1318.0   148.8   289.7   329.0   460.9   641.4  1436.2  1556.9  1655.5  1765.6  1931.2  2920.9 16609.7 36970.4  79748.8   100000  1714549142975  1714549148266
read      803.1  1150.2   160.7   297.4   321.5   408.8   532.8  1362.3  1495.0  1591.7  1691.3  1939.1  2725.5 13489.8 32378.2  82911.6   105000  1714549149769  1714549155062
read      872.2  1170.5   160.7   276.5   320.4   462.2   714.8  1461.4  1566.2  1659.9  1763.4  1940.8  2828.0 15115.0 36635.9  83509.4   110000  1714549156566  1714549161859
read      867.6  1137.3   160.7   285.0   326.6   459.3   723.1  1449.6  1566.6  1658.8  1747.9  1961.8  2811.9 13628.5 32513.6  83799.6   115000  1714549163364  1714549168661
read      917.8  1349.5   160.7   284.1   332.5   482.7   729.4  1480.0  1586.9  1684.4  1794.3  1967.0  2949.9 18025.1 35558.3  86233.6   120000  1714549170164  1714549175459
read      933.0  1463.8   160.7   272.7   321.7   498.5   744.3  1473.7  1589.0  1689.4  1799.5  1969.2  2947.9 21429.8 37805.3  86566.3   125000  1714549176962  1714549182254
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.69%,62.81%,100.00%
